gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1846920154	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442412	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	35.97121	-94.218414											8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1157995			CC0_1_0		Natasha Wright			2018-07-06T21:21:41.013Z		GEODETIC_DATUM_ASSUMED_WGS84
1846920153	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442415	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	35.97121	-94.218414							2011-05-19T00:00:00Z	19	5	2011	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1157998			CC0_1_0		Natasha Wright			2018-07-06T21:21:41.146Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920151	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442416	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	35.97121	-94.218414											8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1158000			CC0_1_0		Natasha Wright			2018-07-06T21:21:40.799Z		GEODETIC_DATUM_ASSUMED_WGS84
1846920147	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442407	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2014-08-07T00:00:00Z	7	8	2014	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	974164			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:41.171Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920144	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442420	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2016-05-12T00:00:00Z	12	5	2016	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1222817			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:40.625Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920143	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442419	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.239513	-97.69127							2016-04-27T00:00:00Z	27	4	2016	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1221759			CC0_1_0		Mike Quinn			2018-07-06T21:21:40.767Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920140	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442410	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2015-05-21T00:00:00Z	21	5	2015	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1077684			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:41.771Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920139	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442413	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	35.97121	-94.218414											8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1157996			CC0_1_0		Natasha Wright			2018-07-06T21:21:41.237Z		GEODETIC_DATUM_ASSUMED_WGS84
1846920138	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442406	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	40.041992	-76.2502							2014-07-22T00:00:00Z	22	7	2014	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	963951			CC0_1_0		roar			2018-07-06T21:21:40.807Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920136	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442417	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	35.97121	-94.218414											8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1158005			CC0_1_0		Natasha Wright			2018-07-06T21:21:41.286Z		GEODETIC_DATUM_ASSUMED_WGS84
