locationRemarks;verbatimLocality;verbatimLatitude;verbatimLongitude;municipality;county;stateProvince;egg;larva;pupa;adult;verbatimEventDate
via Aqua dei Monaci Taurianova;;38.37404;15.96231;;;;;23;;2;2020г.
via Solferino Villa San Giovanni;;38.21704;15.63825;;;;;161;;9;2020г.
contida Prateria Galatro;;38.45738;16.11544;;;;;15;;15;2020г.
contida Barbasano Laureana di Borrello;;38.49217;16.08036;;;;;4;;13;2020г.
contrada Armicci Lentini Siracusa;;37.30963;14.97775;;;;;;;2;2020г.
strada provinciale 58 Laureana di Borrello;;38.50828;16.04674;;;;;;;12;2020г.
contrada Figurelle Taurianova;;38.36661;15.95816;;;;;;;11;2020г.
loc. Prateria San Pietro di Carida;;38.48076;16.19434;;;;;;;4;2020г.
Scuola Argaria Palmi;;38.36494;15.86126;;;;;1;;3;2020г.
strada provinciale Brancaleone;;37.99394;16.07572;;;;;;;3;2020г.
contrada Campizzi Rosarno;;38.44527;16.02477;;;;;19;;27;2020г.
La Garita;;9.982252;-84.327909;;;;;;;1;
Santa Cecilia;;11.066564;-85.413051;;;;;;;1;
La Cruz;;11.070827;-85.630640;;;;;;;1;
Las Victorias El Zapote Caluco Sonsonate;;13.71720;-89.63703;;;;;;;1;
Miryang;;35.50376;128.74644;;;;;;;1;2017г.
Sabino Hernandez La Casa Santo Domingo Villa Clara;;22.61900;-80.37422;;;;;;;1;
San Jeronimo San Juan del Sur Rivas ;;11.21887;-85.70837;;;;;;;1;
San Juan de Sabinas Coahuila;;27.92786;-101.31312;;;;;;;1;
Hasienda de San Pedro San Pedro General Teran Nuevo Leon;;25.22417;-99.28885;;;;;;;1;
La Presa II Hidalgo Tamaulipas;;24.16422;-99.63158;;;;;;;1;
Renmark Australia;;-34.16324;140.71546;;;;;;;1;
Naracoorte in Eastern South Australia;;-36.95174;140.68563;;;;;;;1;
Pearth  Australia;;-32.03975;115.68065;;;;;;;1;
Kununura West Australia;;-15.65166;128.59789;;;;;;;1;
Baton Rouge Oahu Kunia;;54.40935;-128.40887;;;;;;;1;
Northern Cape Republic of South Africa;;-29.04668;21.85686;;;;;;;1;
Cerritos Sector Capelia;;4.81081;-75.85250;;;;;;;1;2020г.
Pepeira Risaralda;;4.80477;-75.74886;;;;;;;1;2020г.
Mkhoqweni  Hhohho ;;-26.08691;31.32456;;;;;;;1;2018г.
Sartenesa Area Nort East Corozal;;18.35247;-88.14788;;;;;;;1;2017г.
