locationRemarks;verbatimLocality;verbatimLatitude;verbatimLongitude;municipality;county;stateProvince;egg;larva;pupa;adult;verbatimEventDate
Станция № 8 защитна зона;c.da conche;38° 30´ 47,76ʺ;16° 3´ 34,52ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;12;21.04.2016
Станция № 8  защитна зона;c.da conche;38° 26´ 54,77ʺ;16° 5´ 50,55ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;2;02.05.2016
Станция № 2 защитна зона;Strada Statale;38° 29´ 54,51ʺ;16° 10´ 43,46ʺ;Candidoni;Reggio di Calabria;Calabria;;;;8;17.06.2016
Станция № 2 зона на внимание;Strada Statale;38° 27´ 48,73ʺ;16° 10´ 37,29ʺ;Candidoni;Reggio di Calabria;Calabria;;;;2;05.07.2016
Станция № 9  защитна зона;c.da Terre di Vasia;38° 31´ 43,79ʺ;16° 6´ 25,15ʺ;Serrata;Reggio di Calabria;Calabria;;;;8;10.08.2016
Станция № 2 5 защитна зона;;38° 25´ 32,48ʺ;15° 53´ 41,64ʺ;Maropati;Reggio di Calabria;Calabria;;;;6;29.08.2016
Станция № 9 защитна зона;c.da Terre di Vasia;38° 29´ 54,51ʺ;16° 10´ 43,46ʺ;Serrata;Reggio di Calabria;Calabria;;;;4;29.08.2016
Станция № 25 зона на внимание;;38° 27´ 48,73ʺ;16° 10´ 37,29ʺ;Maropati;Reggio di Calabria;Calabria;;;;13;29.08.2016
Станция № 29 защитна зона;c.da Tremola;38° 31´ 43,79ʺ;16° 6´ 25,15ʺ;Galatro;Reggio di Calabria;Calabria;;;;4;07.10.2016
Станция № 6 защитна зона;c.da Campo;38° 25´ 32,48ʺ;15° 53´ 41,64ʺ;San Pietro di Carida;Reggio di Calabria;Calabria;;;;9;25.11.2016
;Figurelle di San Martino;38° 21´ 43,69ʺ;15° 58´ 30,49ʺ;Taurianova;Reggio di Calabria;Calabria;;;;3;16.09.2015
;c.da Salvatore;38° 18´ 12,27ʺ;15° 59´ 50,89ʺ;Varapodio;Reggio di Calabria;Calabria;;;;7;28.09.2015
;c.da Calipo;38° 18´ 10,33ʺ;15° 59´ 50,89ʺ;Varapodio;Reggio di Calabria;Calabria;;;;7;28.09.2015
;c.da Cavalieri nuovo;38° 17´ 44,15ʺ;15° 58´ 45,36ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;1;29.09.2015
;c.da Delia;38° 17´ 42,21ʺ;15° 58´ 45,38ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;3;08.10.2015
;c.da Ferrandina;38° 17´ 40,26ʺ;15° 58´ 45,39ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;5;09.10.2015
;Ponte Quaranta;38° 24´ 35,01ʺ;15° 58´ 8,34ʺ;Rizziconi;Reggio di Calabria;Calabria;;;;4;09.10.2015
;c.da Foresta;38° 24´ 37,07ʺ;15° 58´ 8,27ʺ;Rizziconi;Reggio di Calabria;Calabria;;;;5;09.10.2015
;c.da Petrosa;38° 18´ 14,22ʺ;15° 59´ 50,88ʺ;Varapodio;Reggio di Calabria;Calabria;;;;4;09.10.2015
;c.da Mazzaferro;38° 25´ 32,48ʺ;15° 53´ 41,02ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;3;12.10.2015
;c.da Giambria;38° 25´ 32,96ʺ;15° 53´ 42,26ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;4;12.10.2015
;c.da petrace 1;38° 25´ 32,48ʺ;15° 53´ 41,02ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;3;12.10.2015
;c.da petrace 2;38° 25´ 32,96ʺ;15° 53´ 41,64ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;4;12.10.2015
;c.da Padripodi;38° 25´ 32,2ʺ;15° 53´ 42,1ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;8;13.10.2015
;c.da Bosco Selvaggio;38° 24´ 34ʺ;15° 58´ 10ʺ;Rizziconi;Reggio di Calabria;Calabria;;;;10;13.10.2015
;c.da Ponte Vecchio;38° 25´ 32,48ʺ;15° 53´ 41,64ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;3;15.10.2015
;c.da Quarantano;38° 17´ 40,26ʺ;15° 58´ 44,16ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;27;15.10.2015
;c.da Marro;38° 18´ 10,33ʺ;15° 59´ 53,36ʺ;Varapodio;Reggio di Calabria;Calabria;;;;6;27.10.2015
;c.da Salice;38° 17´ 40,26ʺ;15° 58´ 45,39ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;5;27.10.2015
;c.da Giuseppina;38° 24´ 21,91ʺ;16° 4´ 37,17ʺ;Polistena;Reggio di Calabria;Calabria;;;;4;27.10.2015
;c.da Cordopatri;38° 25´ 32,48ʺ;15° 53´ 41,64ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;12;27.10.2015
;c.da Ferrandina;38° 17´ 38,57ʺ;15° 58´ 45,39ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;10;27.10.2015
;c.da Caruso;38° 14´ 36,37ʺ;15° 58´ 28,08ʺ;Santa Cristina Daspromonte;Reggio di Calabria;Calabria;;;;4;16.11.2015
;c.da Pergola 2;38° 33´ 14,53ʺ;15° 56´ 8,8ʺ;Nicotera;VV;Calabria;;;;10;18.11.2015
;c.da Serricella;38° 29´ 17,49ʺ;15° 58´ 42,29ʺ;Rosarno;Reggio di Calabria;Calabria;;;;7;16.11.2015
;c.da Zangari;38° 6´ 1,89ʺ;15° 44´ 43,69ʺ;Laureana di Borrello;Reggio di Calabria;Calabria;;;;6;16.11.2015
;c.da Pergola 1;38° 33´ 14,53ʺ;15° 56´ 8,8ʺ;Nicotera;VV;Calabria;;;;11;26.11.2015
;c.da Ferrandina;38° 17´ 40,26ʺ;15° 58´ 47,85ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;3;01.12.2015
;c.da San Pietro;38° 29´ 16,05ʺ;15° 58´ 41,68ʺ;Rosarno;Reggio di Calabria;Calabria;;;;2;01.12.2015
Станция № 8 защитна зона;c.da conche;38° 30´ 47,76ʺ;16° 3´ 34,52ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;12;21.04.2016
Станция № 8  защитна зона;c.da conche;38° 26´ 54,77ʺ;16° 5´ 50,55ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;2;02.05.2016
Станция № 2 защитна зона;Strada Statale;38° 29´ 54,51ʺ;16° 10´ 43,46ʺ;Candidoni;Reggio di Calabria;Calabria;;;;8;17.06.2016
Станция № 2 зона на внимание;Strada Statale;38° 27´ 48,73ʺ;16° 10´ 37,29ʺ;Candidoni;Reggio di Calabria;Calabria;;;;2;05.07.2016
