Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.56816E-8,0.000002568,0.000092583,1,0,0
2.87096E-8,0.000011128,0.000103498,0.99970344,0,0
2.97534E-8,0.000025781,0.000107261,0.999209174,0,0
3.28961E-8,0.000051229,0.00011859,0.998418347,0,0
3.5891E-8,0.000103096,0.000129385,0.996935548,0,0
4.20631E-8,0.000252425,0.000151634,0.993179122,0,0
6.57817E-8,0.00050551,0.000237128,0.988236457,0,0
8.9606E-8,0.001005632,0.000322995,0.982107552,0,0
1.22802E-7,0.002500595,0.000442628,0.968070384,0,0
1.70806E-7,0.005003258,0.0006156,0.950869909,0,0
2.5832E-7,0.010015958,0.000930859,0.92813365,0,0
5.22379E-7,0.02505114,0.001881504,0.888098062,0,0
8.24539E-7,0.050007131,0.002968209,0.851324634,0,0
1.36045E-6,0.100029122,0.004892662,0.804270463,0,0
2.27144E-6,0.200000876,0.008155539,0.751285093,0,0
2.80142E-6,0.300122482,0.010048821,0.711941479,0,0
3.44793E-6,0.400322307,0.012353503,0.680110716,0,0
4.18677E-6,0.500111195,0.014980759,0.654211151,0,0
5.17559E-6,0.600116262,0.018486004,0.632759984,0,0
6.41038E-6,0.700053712,0.022845657,0.615658363,0.008333333,0
7.02436E-6,0.750016598,0.025006228,0.608343219,0.008333333,0
7.53109E-6,0.800309933,0.026785759,0.601522341,0.008333333,0
8.28696E-6,0.90043106,0.029434238,0.589066825,0.008333333,0
8.97106E-6,1.000567574,0.031824985,0.577599842,0.008333333,0
9.71935E-6,1.100484338,0.03443334,0.567022539,0.008333333,0
1.04274E-5,1.200284469,0.036895062,0.557236062,0.008333333,0
1.14756E-5,1.300689691,0.040527798,0.548141558,0.008333333,0
1.25562E-5,1.400581691,0.04425827,0.539936734,0.016666667,0
1.34693E-5,1.500795524,0.047399324,0.53232503,0.016666667,0
1.62103E-5,1.750837212,0.056766396,0.515618822,0.016666667,0
1.85242E-5,2.000507171,0.064602164,0.5014828,0.025,0
2.02807E-5,2.251167897,0.070506896,0.488730724,0.025,0
2.17939E-5,2.500003488,0.075563711,0.477066034,0.025,0
2.35562E-5,2.750055475,0.081418455,0.466192171,0.025,0
2.52235E-5,3.000252542,0.086923557,0.456010281,0.025,0
2.70849E-5,3.251277577,0.093030374,0.446520364,0.025,0
2.90645E-5,3.501549422,0.099480373,0.43772242,0.025,0
3.07657E-5,3.753056978,0.104986255,0.429418743,0.025,0
3.23225E-5,4.00289373,0.109995611,0.421609332,0.025,0
3.42698E-5,4.252494046,0.116222047,0.414195334,0.025,0
3.58705E-5,4.501285472,0.121307482,0.40717675,0.025,0
3.77307E-5,4.751327922,0.127180472,0.400454725,0.025,0
3.9174E-5,5.001209881,0.131710331,0.394029261,0.025,0
4.10869E-5,5.25331265,0.13767773,0.387801503,0.025,0
4.26432E-5,5.500382219,0.142502556,0.381969158,0.025,0
4.43728E-5,5.752406809,0.147832979,0.376235666,0.025,0
4.56718E-5,6.00431252,0.151814341,0.370699881,0.025,0
4.73519E-5,6.251130786,0.156936307,0.365460656,0.033333333,0
4.92793E-5,6.502420895,0.162774162,0.360320285,0.033333333,0
5.07719E-5,6.752977083,0.167267402,0.35537762,0.033333333,0
5.23038E-5,7.000323353,0.171853559,0.350632661,0.033333333,0
5.4645E-5,7.250783216,0.178814216,0.345986556,0.041666667,0
5.68354E-5,7.501694563,0.185273318,0.341538157,0.041666667,0
5.86126E-5,7.755338752,0.190476881,0.337188612,0.041666667,0
6.07754E-5,8.005965735,0.196764377,0.333036773,0.041666667,0
6.32896E-5,8.253514536,0.204012257,0.329082641,0.041666667,0
6.65597E-5,8.50603712,0.213341214,0.325227363,0.041666667,0
6.98183E-5,8.751795,0.222528725,0.321668644,0.041666667,0
7.29189E-5,9.001518457,0.231170962,0.318208778,0.041666667,0
7.62205E-5,9.255728404,0.240268247,0.314847766,0.041666667,0
8.02298E-5,9.506968597,0.2511707,0.31168446,0.041666667,0
8.28018E-5,9.751796561,0.258082143,0.308718861,0.05,0
8.55653E-5,10.004976465,0.265436964,0.305753262,0.05,0
8.86131E-5,10.25728637,0.273464231,0.302886516,0.058333333,0
9.09644E-5,10.500139,0.279596894,0.300217477,0.058333333,0
9.3099E-5,10.757820651,0.285119601,0.297449585,0.058333333,0
9.55715E-5,11.003413409,0.291463698,0.294879399,0.066666667,0
9.78277E-5,11.254054318,0.297203557,0.292309213,0.066666667,0
9.94859E-5,11.500880101,0.301392411,0.289837881,0.075,0
1.01755E-4,11.752255684,0.307085053,0.287366548,0.083333333,0
1.03155E-4,12.008525983,0.310572655,0.284895216,0.083333333,0
1.04922E-4,12.258163608,0.314950776,0.282522736,0.083333333,0
1.06652E-4,12.501406722,0.319209074,0.28024911,0.083333333,0
1.08388E-4,12.759703066,0.323457617,0.277876631,0.083333333,0
1.10764E-4,13.000653764,0.329229065,0.275701858,0.083333333,0
1.12957E-4,13.258253065,0.334509113,0.273428233,0.083333333,0
1.14114E-4,13.508064936,0.337279517,0.27125346,0.091666667,0
1.15507E-4,13.760272038,0.340599708,0.269078687,0.091666667,0
1.17808E-4,14.004918009,0.346047724,0.267002768,0.091666667,0
1.19841E-4,14.254420663,0.350822071,0.264926849,0.091666667,0
1.22201E-4,14.508700216,0.356323707,0.262850929,0.091666667,0
1.23753E-4,14.754799674,0.359913942,0.260873863,0.091666667,0
1.25235E-4,15.004020291,0.363324444,0.258896797,0.091666667,0
1.27051E-4,15.256515487,0.367479512,0.256919731,0.091666667,0
1.28091E-4,15.511749199,0.369847788,0.254942665,0.091666667,0
1.2966E-4,15.756587595,0.373401857,0.253064452,0.091666667,0
1.31316E-4,16.00454231,0.377131252,0.25118624,0.091666667,0
1.33082E-4,16.255935031,0.381084578,0.249308027,0.091666667,0
1.35154E-4,16.511104931,0.385689609,0.247429814,0.091666667,0
1.36777E-4,16.755821543,0.389274014,0.245650455,0.091666667,0
1.39043E-4,17.004724477,0.394243653,0.243871095,0.091666667,0
1.40842E-4,17.256867484,0.398159949,0.242091736,0.091666667,0
1.42489E-4,17.512128203,0.401721627,0.240312376,0.091666667,0
1.43979E-4,17.756032912,0.404928037,0.23863187,0.091666667,0
1.45872E-4,18.002720057,0.408975982,0.236951364,0.091666667,0
1.46871E-4,18.251676677,0.411099462,0.235270858,0.091666667,0
1.48255E-4,18.502326714,0.414030465,0.233590352,0.1,0
1.49917E-4,18.75591117,0.417530611,0.231909846,0.1,0
1.51837E-4,19.012666784,0.421549388,0.23022934,0.1,0
1.53934E-4,19.25725966,0.425905924,0.228647687,0.1,0
1.55467E-4,19.504999833,0.429070386,0.227066034,0.1,0
1.5672E-4,19.754950151,0.431642997,0.225484381,0.1,0
1.57948E-4,20.006902721,0.434153377,0.223902728,0.108333333,0
1.59121E-4,20.260759198,0.436542516,0.222321076,0.108333333,0
1.60538E-4,20.500801613,0.439412198,0.220838276,0.116666667,0
1.62264E-4,20.759150808,0.442890511,0.219256623,0.116666667,0
1.63819E-4,21.003567305,0.446005262,0.217773824,0.125,0
1.6494E-4,21.250109896,0.448238681,0.216291024,0.125,0
1.66356E-4,21.515164141,0.451047918,0.214709371,0.133333333,0
1.67504E-4,21.765598152,0.453315224,0.213226572,0.141666667,0
1.6918E-4,22.00136359,0.456610338,0.211842626,0.141666667,0
1.70535E-4,22.256168196,0.459256613,0.210359826,0.141666667,0
1.72282E-4,22.513033887,0.462653388,0.208877026,0.15,0
1.73611E-4,22.755322283,0.465221644,0.20749308,0.158333333,0
1.74617E-4,23.016387882,0.467156829,0.206010281,0.158333333,0
1.75808E-4,23.261520476,0.469440366,0.204626335,0.158333333,0
1.77523E-4,23.509167306,0.472710739,0.203242388,0.158333333,0
1.78239E-4,23.758113765,0.474070289,0.201858442,0.158333333,0
1.79417E-4,24.008497923,0.476298311,0.200474496,0.158333333,0
1.80967E-4,24.260856317,0.479216454,0.19909055,0.158333333,0
1.83214E-4,24.515797987,0.48341862,0.197706603,0.158333333,0
1.84331E-4,24.754737201,0.485494377,0.19642151,0.158333333,0
1.85391E-4,25.013612537,0.487457078,0.195037564,0.158333333,0
1.86773E-4,25.255614369,0.49000463,0.193752471,0.158333333,0
1.87827E-4,25.517883722,0.491938622,0.192368525,0.166666667,0
1.89367E-4,25.762925176,0.494752154,0.191083432,0.166666667,0
1.90823E-4,26.00975609,0.497395921,0.189798339,0.166666667,0
1.91869E-4,26.258481073,0.49928784,0.188513246,0.166666667,0
1.93497E-4,26.508901022,0.502218334,0.187228153,0.166666667,0
1.95436E-4,26.762147213,0.505686503,0.18594306,0.166666667,0
1.96629E-4,27.016994343,0.507807246,0.184657968,0.166666667,0
1.97618E-4,27.253606817,0.509559579,0.183471728,0.166666667,0
1.99147E-4,27.511459859,0.512254814,0.182186635,0.166666667,0
2.00304E-4,27.751365796,0.514285126,0.181000395,0.166666667,0
2.0182E-4,28.01276744,0.516932375,0.179715302,0.175,0
2.03698E-4,28.256138973,0.520192484,0.178529063,0.175,0
2.04705E-4,28.501283489,0.521931086,0.177342823,0.175,0
2.06131E-4,28.76847683,0.524383426,0.17605773,0.175,0
2.06936E-4,29.016429574,0.525761217,0.174871491,0.175,0
2.08798E-4,29.266082422,0.528935013,0.173685251,0.183333333,0
2.1043E-4,29.517849355,0.531697846,0.172499011,0.183333333,0
2.11053E-4,29.770801283,0.532748143,0.171312772,0.183333333,0
2.11943E-4,30.003531963,0.534244479,0.170225386,0.183333333,0
2.13647E-4,30.259023045,0.53709822,0.169039146,0.183333333,0
2.14682E-4,30.516168906,0.538821662,0.167852906,0.183333333,0
2.15603E-4,30.75286875,0.540349871,0.16676552,0.191666667,0
2.16881E-4,31.012348324,0.542463344,0.16557928,0.191666667,0
2.18539E-4,31.25179796,0.545190425,0.164491894,0.191666667,0
2.20108E-4,31.515234432,0.547754897,0.163305654,0.2,0
2.22692E-4,31.758803844,0.551948114,0.162218268,0.208333333,0
2.23868E-4,32.004424656,0.553843892,0.161130882,0.208333333,0
2.25029E-4,32.251486778,0.555708329,0.160043495,0.208333333,0
2.26573E-4,32.522529155,0.55817357,0.158857256,0.208333333,0
2.27616E-4,32.772369247,0.559831777,0.15776987,0.216666667,0
2.29051E-4,33.000926726,0.562103974,0.156781336,0.225,0
2.30572E-4,33.253815533,0.564498046,0.15569395,0.225,0
2.31429E-4,33.507899806,0.565841984,0.154606564,0.225,0
2.3209E-4,33.762867105,0.566875129,0.153519178,0.225,0
2.33951E-4,34.019314027,0.56977128,0.152431791,0.225,0
2.34783E-4,34.253812375,0.571059796,0.151443258,0.233333333,0
2.35662E-4,34.512651023,0.572417925,0.150355872,0.233333333,0
2.37269E-4,34.772994609,0.57488746,0.149268486,0.233333333,0
2.38715E-4,35.011269724,0.577097874,0.148279953,0.233333333,0
2.40292E-4,35.250763502,0.579494863,0.14729142,0.241666667,0
2.42126E-4,35.516349679,0.582266491,0.146204033,0.241666667,0
2.43185E-4,35.75930257,0.58385831,0.1452155,0.241666667,0
2.44162E-4,36.003198134,0.585321335,0.144226967,0.241666667,0
2.45323E-4,36.272505187,0.587053185,0.143139581,0.241666667,0
2.46411E-4,36.518440694,0.588670298,0.142151048,0.25,0
2.48022E-4,36.765735366,0.591052854,0.141162515,0.258333333,0
2.49128E-4,37.014405082,0.592679193,0.140173982,0.258333333,0
2.50528E-4,37.264290678,0.594730348,0.139185449,0.258333333,0
2.51776E-4,37.51545183,0.596550057,0.138196916,0.258333333,0
2.53179E-4,37.768198423,0.598584561,0.137208383,0.258333333,0
2.54255E-4,38.021834061,0.60013874,0.13621985,0.258333333,0
2.55307E-4,38.251135909,0.60165273,0.13533017,0.258333333,0
2.56778E-4,38.507268106,0.603759326,0.134341637,0.266666667,0
2.59208E-4,38.765735651,0.607216527,0.133353104,0.266666667,0
2.608E-4,39.025741152,0.609464234,0.132364571,0.266666667,0
2.62394E-4,39.261223752,0.611701726,0.131474891,0.266666667,0
2.64436E-4,39.524705803,0.614549808,0.130486358,0.283333333,0
2.6558E-4,39.763256789,0.616136645,0.129596679,0.283333333,0
2.66497E-4,40.002755831,0.617402716,0.128706999,0.283333333,0
2.68251E-4,40.270127499,0.619815005,0.127718466,0.283333333,0
2.70188E-4,40.512599217,0.622460964,0.126828786,0.283333333,0
2.70972E-4,40.75617633,0.623526434,0.125939106,0.283333333,0
2.72099E-4,41.000456663,0.625052142,0.125049427,0.283333333,0
2.73994E-4,41.273273583,0.627605918,0.124060894,0.283333333,0
2.75571E-4,41.520390632,0.62971613,0.123171214,0.283333333,0
2.76802E-4,41.769010282,0.631356781,0.122281534,0.283333333,0
2.78433E-4,42.018959202,0.633517882,0.121391854,0.283333333,0
2.80221E-4,42.270425942,0.635872607,0.120502175,0.283333333,0
2.81545E-4,42.523367652,0.637606946,0.119612495,0.283333333,0
2.82837E-4,42.77757325,0.639290597,0.118722815,0.283333333,0
2.84377E-4,43.004635498,0.641287481,0.117931989,0.283333333,0
2.86541E-4,43.261592046,0.644074877,0.117042309,0.283333333,0
2.89128E-4,43.521022497,0.647379918,0.116152629,0.283333333,0
2.89956E-4,43.752782381,0.648429909,0.115361803,0.291666667,0
2.90684E-4,44.014137925,0.649351799,0.114472123,0.3,0
2.92289E-4,44.276488402,0.651375215,0.113582444,0.308333333,0
2.93155E-4,44.510723744,0.652462008,0.112791617,0.308333333,0
2.95369E-4,44.77561303,0.655224527,0.111901938,0.308333333,0
2.96005E-4,45.012190866,0.65601445,0.111111111,0.308333333,0
2.97251E-4,45.279281554,0.65755571,0.110221431,0.308333333,0
2.98401E-4,45.517586407,0.658973052,0.109430605,0.316666667,0
2.9941E-4,45.756734324,0.660210935,0.108639779,0.316666667,0
3.0017E-4,46.026555395,0.661141035,0.107750099,0.316666667,0
3.01287E-4,46.267201061,0.662503476,0.106959272,0.325,0
3.02904E-4,46.509204589,0.664464095,0.106168446,0.325,0
3.04128E-4,46.751958314,0.66594215,0.10537762,0.333333333,0
3.05576E-4,47.026120821,0.667680815,0.10448794,0.333333333,0
3.06313E-4,47.2709045,0.668563079,0.103697113,0.333333333,0
3.07523E-4,47.516640114,0.670005425,0.102906287,0.333333333,0
3.08903E-4,47.762963382,0.671643049,0.102115461,0.333333333,0
3.09624E-4,48.010390208,0.672495984,0.101324634,0.333333333,0
3.11113E-4,48.258670568,0.674248856,0.100533808,0.333333333,0
3.12511E-4,48.508116198,0.675886749,0.099742981,0.333333333,0
3.14759E-4,48.759198249,0.678502826,0.098952155,0.333333333,0
3.16462E-4,49.011776001,0.680471249,0.098161329,0.333333333,0
3.19209E-4,49.266010897,0.683619394,0.097370502,0.333333333,0
3.20747E-4,49.521948541,0.685369273,0.096579676,0.333333333,0
3.22905E-4,49.779334202,0.687807452,0.095788849,0.333333333,0
3.24431E-4,50.005923962,0.689520509,0.095096876,0.333333333,0
3.25456E-4,50.266038026,0.690665701,0.09430605,0.333333333,0
3.2676E-4,50.526990907,0.692116169,0.093515223,0.333333333,0
3.28236E-4,50.756281665,0.693750123,0.09282325,0.333333333,0
3.29083E-4,51.019252114,0.694683768,0.092032424,0.341666667,0
3.30389E-4,51.250140777,0.696118173,0.091340451,0.35,0
3.31135E-4,51.514748577,0.696934044,0.090549624,0.35,0
3.33102E-4,51.780791261,0.699076146,0.089758798,0.358333333,0
3.34793E-4,52.014554328,0.700905249,0.089066825,0.358333333,0
3.37467E-4,52.283559325,0.703774185,0.088275998,0.358333333,0
3.38153E-4,52.520026581,0.704505833,0.087584025,0.358333333,0
3.39775E-4,52.757337487,0.706229503,0.086892052,0.358333333,0
3.42092E-4,53.030510437,0.708672375,0.086101226,0.358333333,0
3.43344E-4,53.270533254,0.709984865,0.085409253,0.358333333,0
3.44208E-4,53.511177568,0.710886544,0.08471728,0.358333333,0
3.46834E-4,53.753135702,0.713610795,0.084025306,0.358333333,0
3.49878E-4,54.031916833,0.71673714,0.08323448,0.358333333,0
3.52405E-4,54.278018848,0.719305804,0.082542507,0.358333333,0
3.5433E-4,54.525543164,0.721246545,0.081850534,0.358333333,0
3.55944E-4,54.773905063,0.722863902,0.081158561,0.366666667,0
3.5714E-4,55.023593365,0.724056688,0.080466588,0.366666667,0
3.58062E-4,55.273913308,0.724972245,0.079774614,0.366666667,0
3.59109E-4,55.525067076,0.726008148,0.079082641,0.366666667,0
3.60837E-4,55.777166793,0.727709613,0.078390668,0.366666667,0
3.6171E-4,56.030195863,0.728565782,0.077698695,0.366666667,0
3.6341E-4,56.283916245,0.730223707,0.077006722,0.366666667,0
3.64599E-4,56.502219211,0.731378287,0.076413602,0.366666667,0
3.66948E-4,56.758198496,0.733643322,0.075721629,0.366666667,0
3.68776E-4,57.015985455,0.73539306,0.075029656,0.366666667,0
3.71913E-4,57.275557879,0.738368756,0.074337683,0.366666667,0
3.73534E-4,57.536405821,0.739892917,0.07364571,0.375,0
3.75675E-4,57.761367313,0.741893209,0.07305259,0.391666667,0
3.77755E-4,58.025230111,0.743821604,0.072360617,0.4,0
3.78406E-4,58.252156608,0.74442221,0.071767497,0.4,0
3.80331E-4,58.517887994,0.746189469,0.071075524,0.408333333,0
3.82928E-4,58.785137082,0.748554669,0.070383551,0.416666667,0
3.86189E-4,59.015803076,0.751493809,0.069790431,0.425,0
3.87886E-4,59.286862988,0.753008856,0.069098458,0.425,0
3.89991E-4,59.52039104,0.754876656,0.068505338,0.425,0
3.91605E-4,59.755084039,0.756298667,0.067912218,0.425,0
3.93367E-4,60.02987627,0.757841846,0.067220245,0.425,0
3.95117E-4,60.266491336,0.759365008,0.066627125,0.425,0
3.95477E-4,60.503666973,0.759676704,0.066034006,0.425,0
3.97128E-4,60.781140906,0.76110336,0.065342032,0.425,0
3.99099E-4,61.019970475,0.762795156,0.064748913,0.433333333,0
