Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.27032E-14,0.000000001,0,0.840913625,0,0
1.41717E-13,0.000000003,0,0.824556154,0,0
6.54206E-13,0.00000001,0.000000001,0.801416318,0,0
1.80786E-12,0.000000025,0.000000002,0.788250549,0,0
5.96647E-12,0.000000101,0.000000006,0.767404748,0,0
1.21615E-11,0.00000025,0.000000013,0.750947536,0,0
5.95246E-11,0.000001002,0.000000063,0.723518851,0,0
1.75089E-10,0.000002511,0.000000186,0.709654897,0,0
6.54699E-10,0.000010008,0.000000695,0.690404947,0,0
1.21281E-9,0.000025019,0.000001288,0.674147217,0,0
2.05785E-9,0.000050193,0.000002186,0.658687413,0,0
4.10545E-9,0.000100183,0.000004361,0.641532017,0,0
1.01116E-8,0.000250882,0.00001074,0.618990624,0,0
1.98604E-8,0.000501385,0.000021095,0.601934969,0,0
3.68367E-8,0.001000811,0.000039127,0.584081388,0,0
6.94961E-8,0.002500196,0.000073815,0.555755037,0,0
1.26993E-7,0.005007458,0.000134881,0.529224018,0,0
2.16244E-7,0.01000837,0.000229664,0.5,0,0
4.30945E-7,0.025022869,0.000457639,0.452323958,0,0
7.54005E-7,0.050046768,0.000800572,0.408438061,0,0
1.34332E-6,0.100215947,0.001425833,0.359066427,0,0
2.8194E-6,0.20000189,0.002990242,0.309295831,0,0
4.59868E-6,0.300232077,0.004872745,0.281368442,0,0
6.41774E-6,0.400550617,0.006793651,0.263215639,0,0
8.24474E-6,0.501596235,0.008719207,0.249351686,0,0
1.02415E-5,0.601716738,0.010819391,0.238579693,0,0
1.22992E-5,0.701196742,0.012979028,0.229802513,0,0
1.30871E-5,0.750622336,0.01380477,0.225912627,0,0
1.39678E-5,0.800622159,0.014726876,0.222222222,0,0
1.59118E-5,0.901184646,0.016759301,0.215539597,0,0
1.79929E-5,1.001460376,0.018930321,0.209654897,0,0
1.94154E-5,1.102412242,0.020411553,0.204268901,0,0
2.09913E-5,1.201245912,0.022049882,0.199381608,0,0
2.2721E-5,1.301309559,0.023845015,0.194793537,0,0
2.48138E-5,1.400443874,0.026012584,0.190604428,0,0
2.64254E-5,1.500865612,0.027678389,0.186714542,0,0
3.12263E-5,1.752325338,0.032624072,0.177937363,0,0
3.6107E-5,2.002876318,0.037626147,0.170556553,0,0
4.16201E-5,2.255894924,0.043245333,0.164073409,0,0
4.5721E-5,2.500649441,0.047403781,0.158487931,0,0
5.11988E-5,2.752737024,0.052930305,0.153301416,0,0
5.61155E-5,3.000556989,0.057863498,0.148713345,0,0
6.07887E-5,3.25291741,0.062528462,0.144424496,0,0
6.82047E-5,3.505020347,0.069884026,0.14053461,0,0
7.30934E-5,3.753701959,0.07470139,0.137043686,0,0
7.91061E-5,4.003390661,0.080592024,0.133752244,0,0
8.48721E-5,4.25037697,0.086205791,0.130760024,0,0
9.12803E-5,4.503942023,0.092404637,0.127867544,0,0
9.76606E-5,4.760031475,0.098534631,0.125174546,0,0
1.02398E-4,5.009137768,0.103059004,0.122681029,0,0
1.07458E-4,5.251210578,0.107866943,0.120386994,0,0
1.11516E-4,5.503410076,0.111704162,0.118092958,0,0
1.16643E-4,5.753647874,0.116528689,0.115898663,0,0
1.2213E-4,6.016224186,0.121663108,0.113704369,0,0
1.29354E-4,6.25599973,0.128376762,0.111809296,0,0
1.35439E-4,6.520179788,0.13399256,0.109814482,0,0
1.39838E-4,6.768488914,0.138028967,0.10801915,0,0
1.44001E-4,7.009915452,0.141832408,0.106323559,0,0
1.50306E-4,7.260475487,0.147559919,0.104627967,0,0
1.57265E-4,7.522635221,0.15383822,0.102932376,0,0
1.62823E-4,7.762851988,0.158818438,0.101436266,0,0
1.66567E-4,8.010316572,0.162157418,0.099940156,0,0
1.72637E-4,8.264851173,0.167542005,0.098444045,0,0
1.8162E-4,8.513649385,0.175447344,0.097047676,0,0
1.86854E-4,8.752305716,0.18001849,0.095751047,0,0
1.92669E-4,9.018911048,0.185068081,0.094354678,0,0
2.00962E-4,9.275369043,0.192214568,0.093058049,0,0
2.05374E-4,9.518436405,0.195990996,0.091861161,0,0
2.13129E-4,9.811469195,0.202587334,0.090464792,0,0
2.15639E-4,10.004290379,0.204710149,0.089567125,0,0
2.24576E-4,10.269703738,0.212223988,0.088370237,0,0
2.33597E-4,10.50029845,0.219736246,0.087372831,0,0
2.3913E-4,10.760322422,0.22430881,0.086275683,0,0
2.46203E-4,11.00319797,0.230114747,0.085278276,0.027777778,0
2.5305E-4,11.253950626,0.235693408,0.08428087,0.027777778,0
2.59769E-4,11.511791952,0.241128237,0.083283463,0.027777778,0
2.67853E-4,11.750007949,0.24761693,0.082385797,0.027777778,0
2.7619E-4,12.023050188,0.254249853,0.08138839,0.027777778,0
2.83696E-4,12.33087609,0.260172199,0.080291243,0.027777778,0
2.89183E-4,12.531742248,0.264471309,0.079593058,0.027777778,0
2.94069E-4,12.765174641,0.26827907,0.078795133,0.027777778,0
3.02212E-4,13.033633581,0.274580659,0.077897467,0.027777778,0
3.09828E-4,13.278440569,0.28042518,0.077099541,0.027777778,0
3.13625E-4,13.52729726,0.283321672,0.076301616,0.027777778,0
3.21054E-4,13.781569277,0.288954803,0.07550369,0.027777778,0
3.29413E-4,14.009041494,0.295239733,0.074805506,0.027777778,0
3.345E-4,14.275155823,0.299037291,0.07400758,0.027777778,0
3.41737E-4,14.511390922,0.304405556,0.073309396,0.027777778,0
3.47563E-4,14.822699197,0.308696684,0.07241173,0.027777778,0
3.53262E-4,15.032553516,0.31286851,0.071813285,0.027777778,0
3.61136E-4,15.282797456,0.318591878,0.071115101,0.027777778,0
3.68755E-4,15.502362503,0.324083672,0.070516657,0.027777778,0
3.76754E-4,15.763323309,0.329802528,0.069818472,0.027777778,0
3.80447E-4,16.066695685,0.332426452,0.069020547,0.055555556,0
3.87943E-4,16.25861932,0.3377203,0.068521843,0.055555556,0
3.96359E-4,16.571882896,0.343614053,0.067723918,0.055555556,0
4.00244E-4,16.811024505,0.346317349,0.067125474,0.055555556,0
4.05121E-4,17.012417592,0.349694715,0.06662677,0.055555556,0
4.1454E-4,17.299970705,0.356168919,0.065928586,0.055555556,0
4.1617E-4,17.507646674,0.357282411,0.065429882,0.055555556,0
4.22558E-4,17.759612212,0.36162839,0.064831438,0.055555556,0
4.3612E-4,18.061836293,0.370758896,0.064133254,0.083333333,0
4.47323E-4,18.283248087,0.378202175,0.06363455,0.083333333,0
4.5436E-4,18.508577352,0.382832211,0.063135847,0.083333333,0
4.65029E-4,18.831811381,0.389786978,0.062437662,0.083333333,0
4.706E-4,19.019310684,0.393386926,0.062038699,0.083333333,0
4.8319E-4,19.307143804,0.401445632,0.061440255,0.083333333,0
4.8647E-4,19.5013049,0.4035269,0.061041293,0.083333333,0
4.92198E-4,19.844107341,0.407144945,0.060343108,0.111111111,0
5.02875E-4,20.044297156,0.413830694,0.059944145,0.111111111,0
5.21667E-4,20.301282048,0.425414898,0.059445442,0.111111111,0
5.25679E-4,20.615425958,0.427858446,0.058846998,0.111111111,0
5.29042E-4,20.773900943,0.429898348,0.058547776,0.111111111,0
5.35271E-4,21.040477613,0.433658199,0.058049072,0.111111111,0
5.37902E-4,21.255173403,0.43523857,0.05765011,0.111111111,0
5.43691E-4,21.579751213,0.438700719,0.057051666,0.111111111,0
5.51168E-4,21.799991042,0.443140452,0.056652703,0.111111111,0
5.57657E-4,22.077650502,0.446965888,0.056154,0.111111111,0
5.61054E-4,22.301380056,0.448957724,0.055755037,0.111111111,0
5.69718E-4,22.527619202,0.454005363,0.055356074,0.111111111,0
5.74218E-4,22.756301893,0.456609182,0.054957112,0.111111111,0
5.85203E-4,23.047757944,0.462912406,0.054458408,0.138888889,0
5.91271E-4,23.283231267,0.466363172,0.054059445,0.138888889,0
5.97067E-4,23.580406623,0.469638527,0.053560742,0.138888889,0
6.12404E-4,23.761411044,0.478208455,0.05326152,0.138888889,0
6.17203E-4,24.007599842,0.480860994,0.052862557,0.138888889,0
6.33057E-4,24.258986849,0.489530098,0.052463595,0.138888889,0
6.39262E-4,24.577953839,0.492883951,0.051964891,0.194444444,0
6.53968E-4,24.772330577,0.500743379,0.051665669,0.194444444,0
6.64066E-4,25.036415382,0.506069956,0.051266707,0.194444444,0
6.7384E-4,25.303983459,0.511171176,0.050867744,0.194444444,0
6.80445E-4,25.507626071,0.514588868,0.050568522,0.194444444,0
6.89802E-4,25.782136677,0.519389137,0.050169559,0.194444444,0
7.00653E-4,26.060374109,0.524896777,0.049770596,0.194444444,0
7.06043E-4,26.27124579,0.527609282,0.049471374,0.194444444,0
7.11474E-4,26.555202366,0.530326215,0.049072412,0.194444444,0
7.3424E-4,26.774509337,0.541547986,0.04877319,0.194444444,0
7.3926E-4,27.069712559,0.543985596,0.048374227,0.194444444,0
7.4579E-4,27.292710868,0.547137919,0.048075005,0.194444444,0
7.53556E-4,27.517807912,0.55085789,0.047775783,0.222222222,0
7.61969E-4,27.821262235,0.55485368,0.04737682,0.25,0
7.68129E-4,28.050528526,0.557757135,0.047077598,0.25,0
7.75467E-4,28.282427645,0.561190254,0.046778376,0.25,0
