Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
5.6901E-10,0.000000057,0.000001047,1,0,0
5.72239E-10,0.000000114,0.000001053,0.999901332,0,0
6.18225E-10,0.000000298,0.000001137,0.999605328,0,0
7.50532E-10,0.000001008,0.000001381,0.998618648,0,0
9.05216E-10,0.000002506,0.000001665,0.996842625,0,0
1.63571E-9,0.000010031,0.00000301,0.990626542,0,0
2.77563E-9,0.000025137,0.000005107,0.984311791,0,0
3.66288E-9,0.000050255,0.000006739,0.976418352,0,0
6.28472E-9,0.000100591,0.000011563,0.966354218,0,0
1.20867E-8,0.00025026,0.000022238,0.949284657,0,0
2.13823E-8,0.000501167,0.000039339,0.934287124,0,0
2.90699E-8,0.001001404,0.000053482,0.914948199,0,0
5.7873E-8,0.002504441,0.000106469,0.879033054,0,0
1.12918E-7,0.00500445,0.000207713,0.848840651,0,0
1.98309E-7,0.010012388,0.000364732,0.817266897,0,0
3.80862E-7,0.025001865,0.000700253,0.765367538,0,0
6.05879E-7,0.050047653,0.001113508,0.714356191,0,0
1.12753E-6,0.100026487,0.002070228,0.655451406,0,0
2.17928E-6,0.200087612,0.003993624,0.593882585,0,0
3.34297E-6,0.300161269,0.006113086,0.557276764,0,0
4.44691E-6,0.400017022,0.008115421,0.531919092,0,0
5.46723E-6,0.500133306,0.009958906,0.512086828,0,0
6.2781E-6,0.60052423,0.011419091,0.495313271,0,0
7.11291E-6,0.700380727,0.012917895,0.480611741,0,0
7.44508E-6,0.750680328,0.013513003,0.473803651,0,0
7.72303E-6,0.800688791,0.014010422,0.467291564,0,0
8.48233E-6,0.900214912,0.015366713,0.455155402,0,0
9.32195E-6,1.000049702,0.016862134,0.44400592,0,0
1.00515E-5,1.100135067,0.018157839,0.433843118,0,0
1.07661E-5,1.200959108,0.019423605,0.424272324,0,0
1.15639E-5,1.300235965,0.020832963,0.415490873,0,0
1.24405E-5,1.400990539,0.022376862,0.407202763,0.006944444,0
1.31501E-5,1.500782089,0.023623241,0.39950666,0.006944444,0
1.53688E-5,1.75072405,0.02749929,0.382141095,0.013888889,0
1.74727E-5,2.001163359,0.031146575,0.367044894,0.013888889,0
1.95285E-5,2.250965754,0.034684119,0.353823384,0.013888889,0
2.16524E-5,2.500223892,0.038311718,0.341884558,0.013888889,0
2.39174E-5,2.750879453,0.04215041,0.33103108,0.013888889,0
2.59466E-5,3.000408782,0.045563614,0.321164282,0.013888889,0
2.83404E-5,3.252538156,0.049558945,0.31198816,0.020833333,0
3.06086E-5,3.500598962,0.053313935,0.303700049,0.020833333,0
3.28491E-5,3.751783724,0.056994096,0.295905279,0.020833333,0
3.51809E-5,4.000269828,0.060793722,0.288702516,0.020833333,0
3.69921E-5,4.253548282,0.063724212,0.281795757,0.020833333,0
3.87567E-5,4.503647763,0.066561601,0.27528367,0.027777778,0
4.12585E-5,4.750750469,0.070555099,0.269166256,0.034722222,0
4.38395E-5,5.000398957,0.074639309,0.263344845,0.034722222,0
4.66834E-5,5.253849962,0.07909833,0.257819438,0.034722222,0
4.90436E-5,5.502129136,0.082766303,0.252688703,0.034722222,0
5.13037E-5,5.753397387,0.086251492,0.247755303,0.034722222,0
5.35112E-5,6.005135691,0.089630183,0.24301924,0.034722222,0
5.54628E-5,6.250354311,0.092596356,0.238579181,0.034722222,0
5.74689E-5,6.505102268,0.095625322,0.234139122,0.034722222,0
5.99552E-5,6.752534527,0.099351342,0.229995067,0.034722222,0
6.22634E-5,7.003028283,0.102783021,0.225949679,0.034722222,0
6.44206E-5,7.250329346,0.105966816,0.222101628,0.041666667,0
6.64884E-5,7.505319127,0.108997434,0.218253577,0.041666667,0
6.89221E-5,7.756226414,0.112538093,0.214602861,0.041666667,0
7.11882E-5,8.001845034,0.115809725,0.211149482,0.041666667,0
7.44624E-5,8.256758845,0.120494442,0.207696103,0.041666667,0
7.75877E-5,8.500997942,0.124920035,0.204538727,0.041666667,0
7.99116E-5,8.753383822,0.128181947,0.201381352,0.048611111,0
8.19458E-5,9.003885719,0.131017381,0.198322644,0.048611111,0
8.46894E-5,9.253874523,0.134812636,0.195362605,0.055555556,0
8.72988E-5,9.503810236,0.138391622,0.192501233,0.055555556,0
9.03107E-5,9.752014645,0.142485899,0.18973853,0.055555556,0
9.26784E-5,10.007833636,0.145677239,0.186975826,0.055555556,0
9.4949E-5,10.251858962,0.148715584,0.184410459,0.055555556,0
9.80846E-5,10.502220467,0.152875948,0.181845091,0.055555556,0
