Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.0107E-10,0.00000001,0.000000242,1,0,0
1.02927E-10,0.000000031,0.000000247,0.999802664,0,0
1.38448E-10,0.000000114,0.000000332,0.999111988,0,0
1.82942E-10,0.000000266,0.000000438,0.998223976,0,0
3.16292E-10,0.000001008,0.000000758,0.995362605,0,0
4.90541E-10,0.000002539,0.000001176,0.991711889,0,0
1.11265E-9,0.000010088,0.000002666,0.981746423,0,0
2.01665E-9,0.000025077,0.000004833,0.972076961,0,0
3.48297E-9,0.000050187,0.000008346,0.962802171,0,0
5.51071E-9,0.000100401,0.000013206,0.951455353,0,0
1.08513E-8,0.000250223,0.000026003,0.932807104,0,0
1.65494E-8,0.000500273,0.000039657,0.914750863,0,0
2.87237E-8,0.001000904,0.000068828,0.892057227,0,0
6.76106E-8,0.002504443,0.000161993,0.859694129,0,0
1.31705E-7,0.005012523,0.000315515,0.83325111,0,0
2.26695E-7,0.010002393,0.00054295,0.805920079,0,0
3.98748E-7,0.02500662,0.000954634,0.758263444,0,0
6.68997E-7,0.050060268,0.001600596,0.710804144,0,0
1.36229E-6,0.100013643,0.003253923,0.661075481,0,0
2.59115E-6,0.200108006,0.006171035,0.607893439,0,0
3.7353E-6,0.300056676,0.008871731,0.576418352,0,0
4.86732E-6,0.400249252,0.011529391,0.553231376,0.006944444,0
5.94186E-6,0.500576085,0.014038973,0.534780464,0.006944444,0
6.9849E-6,0.600351885,0.016462818,0.519486926,0.006944444,0
8.19247E-6,0.700784551,0.01925415,0.506462753,0.006944444,0
8.8588E-6,0.750310863,0.020787625,0.50074001,0.006944444,0
9.29896E-6,0.800255041,0.021797971,0.495313271,0.006944444,0
1.01259E-5,0.900144763,0.023690525,0.485150469,0.006944444,0
1.08611E-5,1.000584727,0.025366965,0.475678342,0.013888889,0
1.17095E-5,1.100565993,0.027294321,0.466896892,0.013888889,0
1.25778E-5,1.201052522,0.02925911,0.458707449,0.013888889,0
1.32803E-5,1.300503545,0.030842789,0.451110015,0.013888889,0.002906977
1.41662E-5,1.40065414,0.032832826,0.443907252,0.013888889,0.002906977
1.48736E-5,1.500711209,0.034415891,0.437099161,0.013888889,0.002906977
1.67352E-5,1.750552411,0.038557432,0.421410952,0.013888889,0.005813953
1.86516E-5,2.001295584,0.042783738,0.407400099,0.013888889,0.005813953
2.0667E-5,2.251576557,0.047188648,0.394869265,0.020833333,0.00872093
2.3026E-5,2.500947935,0.052293327,0.383621115,0.020833333,0.00872093
2.50052E-5,2.750718603,0.056534078,0.373359645,0.020833333,0.00872093
2.65142E-5,3.000776096,0.05974191,0.363788851,0.020833333,0.00872093
2.84635E-5,3.251867949,0.063853661,0.354810064,0.020833333,0.00872093
2.99468E-5,3.500568081,0.066958395,0.346423286,0.027777778,0.00872093
3.18128E-5,3.750548583,0.070835023,0.338431179,0.027777778,0.00872093
3.37658E-5,4.000267447,0.074858027,0.330932412,0.034722222,0.00872093
3.54678E-5,4.252709724,0.078335717,0.32372965,0.034722222,0.00872093
3.73969E-5,4.500727522,0.082246014,0.317020227,0.034722222,0.00872093
3.95977E-5,4.750610768,0.086666617,0.310606808,0.041666667,0.00872093
4.21906E-5,5.000308958,0.091820702,0.304588061,0.041666667,0.00872093
4.53457E-5,5.253960799,0.098014122,0.298865318,0.041666667,0.014534884
4.7826E-5,5.501234886,0.10282414,0.293635915,0.048611111,0.014534884
5.02621E-5,5.752280649,0.107498483,0.288603848,0.048611111,0.014534884
5.23464E-5,6.003563997,0.11145947,0.283769117,0.048611111,0.014534884
5.45226E-5,6.25402228,0.115557822,0.279131722,0.048611111,0.014534884
5.67136E-5,6.504297347,0.119645873,0.274691663,0.048611111,0.01744186
5.85128E-5,6.75205125,0.122974765,0.270448939,0.048611111,0.01744186
6.06659E-5,7.001321846,0.126925599,0.266304884,0.048611111,0.01744186
6.27468E-5,7.254600856,0.130710146,0.262259497,0.048611111,0.01744186
6.50285E-5,7.504268701,0.134822391,0.258411445,0.048611111,0.01744186
6.74896E-5,7.755577075,0.139214621,0.254662062,0.055555556,0.01744186
6.94187E-5,8.001965383,0.142626339,0.251110015,0.055555556,0.01744186
7.23684E-5,8.250063425,0.147791082,0.247656635,0.055555556,0.01744186
7.42276E-5,8.507028717,0.151014447,0.244203256,0.055555556,0.01744186
7.62053E-5,8.755496308,0.154416826,0.240947213,0.0625,0.023255814
7.79143E-5,9.002490011,0.157334931,0.237789837,0.0625,0.023255814
7.9558E-5,9.25460615,0.160122725,0.234632462,0.0625,0.023255814
8.19695E-5,9.505085724,0.164179365,0.231573754,0.0625,0.023255814
8.43733E-5,9.754654426,0.168184162,0.228613715,0.0625,0.023255814
8.60087E-5,10.001588282,0.170887085,0.225752343,0.0625,0.023255814
8.76064E-5,10.253827975,0.173510716,0.222890972,0.0625,0.023255814
8.93999E-5,10.501479405,0.176436034,0.220128268,0.069444444,0.023255814
9.10168E-5,10.753725012,0.179055776,0.217365565,0.076388889,0.023255814
9.3263E-5,11.003094608,0.18266753,0.214701529,0.076388889,0.023255814
9.52151E-5,11.25838403,0.185780655,0.212037494,0.076388889,0.023255814
9.7614E-5,11.50888182,0.189573942,0.209472126,0.076388889,0.023255814
