Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.83531E-10,0.000000018,0.000000444,1,0,0
1.88074E-10,0.000000037,0.000000455,0.999901068,0,0
2.03473E-10,0.000000116,0.000000492,0.999505342,0,0
2.95942E-10,0.000000268,0.000000716,0.998911753,0,0
4.56598E-10,0.000001015,0.000001104,0.996933122,0,0
6.51878E-10,0.000002501,0.000001576,0.994261971,0,0
1.30407E-9,0.000010061,0.000003153,0.986545311,0,0
2.51033E-9,0.000025231,0.00000607,0.978432924,0,0
3.8214E-9,0.000050008,0.000009241,0.970518401,0,0
6.26631E-9,0.000100516,0.000015153,0.960526316,0,0
1.21238E-8,0.000250447,0.000029316,0.944400475,0,0
2.00542E-8,0.000500427,0.000048492,0.929165018,0,0
3.11741E-8,0.001001184,0.000075378,0.909675505,0,0
6.7852E-8,0.002501847,0.000164051,0.877423823,0,0
1.28521E-7,0.005009946,0.00031069,0.851305896,0,0
2.34811E-7,0.010021041,0.00056749,0.822912545,0,0
4.73728E-7,0.025019067,0.001144243,0.78086664,0,0
7.29693E-7,0.050010837,0.001761412,0.740106846,0,0
1.37817E-6,0.100112804,0.003321573,0.690740008,0,0
2.4727E-6,0.20004615,0.005943862,0.63880095,0,0
3.51571E-6,0.300340915,0.008429911,0.6047685,0,0
4.59335E-6,0.400342335,0.010985479,0.580134547,0,0
5.54054E-6,0.500247417,0.013220831,0.560645034,0,0
6.45107E-6,0.600478601,0.015360162,0.544123467,0,0
7.44123E-6,0.700430898,0.017676079,0.529877325,0.00877193,0
7.99763E-6,0.750410597,0.018972689,0.523446775,0.00877193,0
8.61301E-6,0.800358248,0.020402763,0.517510882,0.00877193,0
9.86337E-6,0.900276868,0.023295655,0.506826276,0.00877193,0
1.08184E-5,1.000727309,0.025493855,0.497229917,0.00877193,0
1.17119E-5,1.100702513,0.02754128,0.48842501,0.00877193,0.002906977
1.25042E-5,1.201011753,0.029349919,0.480213692,0.00877193,0.002906977
1.32632E-5,1.300539989,0.031075913,0.472595964,0.00877193,0.005813953
1.43041E-5,1.400725645,0.033433256,0.465373961,0.00877193,0.005813953
1.52096E-5,1.501196372,0.035474576,0.458646617,0.00877193,0.005813953
1.72805E-5,1.750785156,0.040110936,0.443411159,0.01754386,0.005813953
1.93439E-5,2.000690147,0.044686543,0.429857539,0.01754386,0.005813953
2.08979E-5,2.251936403,0.048103751,0.417491096,0.01754386,0.00872093
2.26155E-5,2.500857575,0.051852391,0.406212901,0.01754386,0.00872093
2.44802E-5,2.751892587,0.055888785,0.395627226,0.026315789,0.00872093
2.63699E-5,3.000273099,0.059944319,0.385931935,0.035087719,0.00872093
2.79092E-5,3.250675523,0.06322225,0.376830233,0.035087719,0.00872093
3.00679E-5,3.500103465,0.067780976,0.368322121,0.035087719,0.00872093
3.1719E-5,3.750188021,0.071237853,0.360308666,0.035087719,0.00872093
3.32894E-5,4.000722951,0.074502111,0.352690938,0.035087719,0.011627907
3.49567E-5,4.253404866,0.077942541,0.345370004,0.035087719,0.011627907
3.6906E-5,4.500769756,0.08193276,0.338543728,0.035087719,0.011627907
3.92971E-5,4.75236432,0.086780613,0.332014246,0.035087719,0.011627907
4.12626E-5,5.001851621,0.090727241,0.325880491,0.052631579,0.011627907
4.31954E-5,5.251204883,0.094575067,0.32004353,0.061403509,0.011627907
4.49306E-5,5.502537801,0.098001903,0.314404432,0.061403509,0.011627907
4.73897E-5,5.75177719,0.102814159,0.309062129,0.061403509,0.011627907
4.98193E-5,6.003911761,0.107518627,0.303917689,0.061403509,0.011627907
5.16396E-5,6.253526864,0.111010868,0.299070044,0.061403509,0.014534884
5.32536E-5,6.500115054,0.114084852,0.294420261,0.061403509,0.014534884
5.53081E-5,6.750178278,0.117966925,0.28986941,0.061403509,0.014534884
5.69094E-5,7.003559987,0.120969097,0.285417491,0.061403509,0.014534884
5.8842E-5,7.252825695,0.124565463,0.281163435,0.070175439,0.014534884
6.06581E-5,7.50453131,0.127918247,0.27700831,0.070175439,0.014534884
6.24406E-5,7.750252314,0.131184189,0.273051049,0.070175439,0.014534884
6.42139E-5,8.003521875,0.134408951,0.269093787,0.070175439,0.01744186
6.61285E-5,8.250975397,0.137864038,0.265334389,0.070175439,0.020348837
6.8458E-5,8.506321416,0.1420308,0.26157499,0.070175439,0.020348837
7.00677E-5,8.75540428,0.144886536,0.258013455,0.070175439,0.020348837
7.20724E-5,9.003703161,0.148416743,0.254550851,0.070175439,0.020348837
7.43826E-5,9.252930793,0.152448695,0.251187178,0.070175439,0.020348837
7.66275E-5,9.501802261,0.1563304,0.247922438,0.070175439,0.020348837
7.91227E-5,9.750930184,0.160603416,0.244756628,0.070175439,0.020348837
8.18066E-5,10.000569418,0.165151592,0.241689751,0.070175439,0.023255814
8.45684E-5,10.258325384,0.16978041,0.238622873,0.070175439,0.023255814
8.59684E-5,10.505561474,0.172107415,0.235753858,0.070175439,0.023255814
8.79369E-5,10.758291206,0.175357182,0.232884844,0.070175439,0.026162791
8.95682E-5,11.006976885,0.178031124,0.230114761,0.070175439,0.026162791
9.10627E-5,11.250783838,0.180465559,0.227443609,0.070175439,0.026162791
9.29333E-5,11.508759862,0.183492493,0.224673526,0.070175439,0.026162791
9.47468E-5,11.752518994,0.186405624,0.222101306,0.070175439,0.026162791
9.65602E-5,12.000960589,0.18929796,0.219529086,0.078947368,0.026162791
9.77736E-5,12.253446644,0.191221879,0.216956866,0.078947368,0.026162791
9.9655E-5,12.500193104,0.194186988,0.214483577,0.078947368,0.026162791
1.01364E-4,12.751999558,0.196862093,0.212010289,0.078947368,0.026162791
1.04095E-4,13.008645789,0.201099233,0.209537,0.078947368,0.026162791
1.06579E-4,13.250868507,0.204913803,0.207261575,0.078947368,0.026162791
1.09344E-4,13.509794406,0.209118437,0.204887218,0.078947368,0.026162791
1.1114E-4,13.752406369,0.211825273,0.202710724,0.087719298,0.026162791
1.1373E-4,14.011154553,0.215697726,0.200435299,0.087719298,0.026162791
1.15837E-4,14.251744526,0.218818641,0.198357736,0.096491228,0.026162791
1.17738E-4,14.508318275,0.2216151,0.196181243,0.096491228,0.026162791
1.20505E-4,14.758502467,0.225647854,0.19410368,0.096491228,0.026162791
1.23047E-4,15.002758345,0.229315234,0.192125049,0.096491228,0.026162791
1.25366E-4,15.251647382,0.232631943,0.190146419,0.096491228,0.026162791
1.28519E-4,15.506179398,0.237095247,0.188167788,0.096491228,0.026162791
1.30821E-4,15.752564409,0.240321337,0.186288089,0.096491228,0.026162791
1.33144E-4,16.003702167,0.243549669,0.184408389,0.096491228,0.026162791
1.35956E-4,16.259014516,0.247420918,0.18252869,0.096491228,0.026162791
1.38592E-4,16.505881725,0.251014483,0.180747922,0.096491228,0.026162791
1.41168E-4,16.757840223,0.254492133,0.178967155,0.096491228,0.026162791
1.44056E-4,17.000290842,0.258353731,0.177285319,0.096491228,0.026162791
1.46649E-4,17.262333919,0.261787043,0.175504551,0.105263158,0.026162791
1.49926E-4,17.514699865,0.266079416,0.173822715,0.105263158,0.029069767
1.51852E-4,17.756226577,0.268579599,0.17223981,0.105263158,0.029069767
1.55115E-4,18.001538401,0.272776765,0.170656905,0.105263158,0.029069767
1.57447E-4,18.251882946,0.275746817,0.169074001,0.105263158,0.029069767
