X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-48.612387,-23.106709,train,0.0011477048869367693,80.10951498478741,0.7351234724591927
-48.444165,-22.884181,train,0.0010027713169184981,77.78083296986664,0.7080181275222909
-46.499779,-23.709942,train,4.503513715211007E-4,49.53582931862415,0.5213079163145935
-48.131024,-22.788382,train,7.55660696363104E-4,70.27221613265237,0.646307538974817
-48.699068,-22.82203,train,0.001050601478470572,78.46136237696138,0.7175565346019681
-47.96141,-22.530255,train,4.6616616850241125E-4,51.45079346964463,0.5299135758578852
-49.00094,-22.701441,train,9.82365638304634E-4,77.14099870333462,0.7037498555243246
-46.396136,-23.960745,train,3.0413615022166545E-4,34.3333683854415,0.4237814060080346
-43.172896,-22.906847,train,5.218385068411069E-4,57.22650420320702,0.5578925380768363
-43.460742,-22.756132,train,4.99384026961042E-4,54.75931251982916,0.5470183192438022
-88.89653,13.794185,train,5.542720978474125E-4,59.545360827965226,0.5727086274720382
-88.98207,13.741312,train,8.30272117794429E-4,72.26232007480324,0.6675242323049723
-88.703673,13.433413,train,7.339949896550776E-4,69.07293624774113,0.639629726692642
-88.142559,18.354812,train,6.193200278647559E-4,64.24930118093354,0.5996188803783109
-88.396754,18.40308,train,7.051326311179277E-4,68.30923080149675,0.6303319463441229
-88.577065,18.260667,train,8.160237672545669E-4,71.80887130577482,0.6636714460714414
-88.60121,18.237124,train,5.10816627739069E-4,55.977820645910974,0.5526208978124988
-88.49765,17.189877,train,3.114527868908613E-4,35.09483354830949,0.4295966429579146
-79.91927,22.49372,train,3.431292794912073E-4,38.146701631263596,0.453475597237738
-80.443778,22.159975,train,4.521169824656518E-4,49.84270291421072,0.5222842704808685
-81.532215,23.03034,train,6.75648745369591E-4,67.23590496676874,0.6203251501387639
-82.366596,23.113592,train,6.795697121356984E-4,67.51951469556772,0.6216870425263724
-82.911803,22.816568,train,9.084030658120871E-4,75.13621210801259,0.6871746427232162
-86.872215,12.431553,train,0.001282780377461215,82.53614298635576,0.7562152484406949
-6.461,41.350144,train,1.723271857170632E-4,19.919818182325034,0.29414232536788854
-86.872215,12.114993,train,0.001340992151482872,84.05809215208384,0.7643035439421831
-86.236174,12.446468,train,6.257866592558981E-4,64.56525270122881,0.6021100383204208
-86.05296,11.955006,train,8.373812715957845E-4,72.75596440001563,0.6694137427105881
-86.077172,12.145605,train,5.822957867790007E-4,61.44287019476708,0.5847330271810427
-86.268194,12.124615,train,6.514749101388006E-4,65.99611211291648,0.6117072135383544
-86.36302,13.085114,train,4.485721588554696E-4,49.28629223183671,0.5203199951095611
-86.459209,13.472601,train,4.447147462259466E-4,49.01995633410361,0.5181640709497178
-86.682222,13.27,train,3.922467342975853E-4,43.262001226090945,0.48678964527413127
-89.398528,18.806656,train,6.120349896878062E-4,63.62660802754194,0.5967748144672677
-100.901681,29.023806,train,2.7756435516038477E-4,31.24779190712918,0.40162664899883227
146.921099,-31.253218,train,4.0008222804851446E-5,4.8426294480905305,0.08821237934254493
144.785153,-37.471308,train,5.564692501615618E-4,59.845340602616155,0.5736764821743836
-80.342198,27.499208,train,8.36190310150287E-4,72.61741658625844,0.6690987013644304
-84.387982,33.748995,train,4.893612496701403E-4,53.807350573078935,0.5419899131194262
-79.0193,35.759573,train,9.548116940243691E-4,76.39795186950684,0.6977843692054514
-81.163725,33.836081,train,2.178169325548988E-4,24.897859943493305,0.3450002224089417
-119.417932,36.778261,train,1.104198897485269E-4,13.65513055514348,0.2107426852835621
-85.602364,44.314844,train,7.38454788813719E-4,69.29391419694532,0.6410248584370523
-77.194525,41.203322,train,0.0024329155706040275,92.3961554210006,0.854718738376871
-82.907123,40.417287,train,0.001331821007370459,83.83646160986817,0.7630650545975877
-89.398528,40.633125,train,4.794891602090742E-4,52.75421641142034,0.5369267678610313
-74.405661,40.058324,train,0.0021618131510274586,90.0679452760897,0.839425239170507
-94.6859,46.729553,train,1.6695604095602715E-4,19.254681205432448,0.28761120537302204
-76.641271,39.045755,train,0.0010923278736857383,79.28570753974202,0.7253828376160384
-91.831833,37.964253,train,8.792861769843786E-4,73.93269793586445,0.6801292031480327
-74.005973,40.712775,train,0.0022728080968947837,90.96248631754085,0.846059901618187
-73.087749,41.603221,train,0.003225761056242012,95.61301921879623,0.8863692433662239
-78.656894,37.431573,train,0.001459590797626872,85.63655215045726,0.7792268685722167
-99.901813,31.968599,train,4.5612380467544375E-4,50.23106514181098,0.524485271137377
-86.134902,40.267194,train,0.001473602234397376,85.89226524555423,0.7808660429425848
-91.962333,30.984298,train,3.24916694115925E-4,36.46404124528451,0.4399965738197369
-98.484246,39.011902,train,2.6598068362614584E-4,30.014687397201676,0.3914262232831809
-86.580447,35.517491,train,8.136696189371447E-4,71.75986158092114,0.6630262671134456
-97.092877,35.007752,train,5.129128689470945E-4,56.211003421275485,0.5536331656794446
-155.073765,19.653754,train,2.5298308611180225E-5,2.859424065920756,0.05764887346807565
-155.665857,19.542915,train,3.960881511482136E-5,4.7919313323010355,0.08740871811904453
-116.576504,53.933271,train,2.3146213432293962E-5,2.5723048066428786,0.05300469780771312
-66.461916,46.565316,train,0.0016845650689322187,86.96752318176274,0.8028998331476271
-121.815931,49.37641,train,4.358192397467369E-4,48.26209872433995,0.5131176851932443
-122.30447,49.050438,train,4.148447916913326E-4,46.086471418482525,0.5007899165668003
-122.598398,49.219323,train,3.420343484010939E-4,38.024130838356996,0.4526836041538936
-98.361883,49.000402,train,4.288184506467375E-5,5.210752717261278,0.09395302407271873
-74.451222,45.017095,train,0.004073747939406833,98.16851574007222,0.9078426759722775
-74.113966,45.036537,train,0.004081170140096458,98.57668172161799,0.9079948572538165
-73.899632,45.044091,train,0.0029181343815749606,94.69914831322681,0.8758772538009283
-73.569748,45.235223,train,0.0022084561525587596,90.50867808436584,0.8422817269583163
-82.734714,42.163944,train,0.0024447671301487286,92.88442489146531,0.8553211270639232
-83.108698,42.101378,train,0.0013048840782038315,82.87551966245657,0.7593510037697164
-82.885759,42.311797,train,0.0016917012390180231,87.01550703583364,0.8035679479945665
-82.918148,42.035559,train,0.0021347931014036913,89.8517706506761,0.8377226577207647
-74.87333,45.122755,train,0.0025806503873043686,94.14524253702037,0.8618869961764366
-80.201173,44.079119,train,0.0025716399010546932,93.88717435553565,0.8614701144494087
-82.040714,43.052709,train,0.002002871692605769,89.1539028772085,0.828863285647836
-79.977449,44.26801,train,0.0032597672278419036,95.9389592476086,0.8874211976092378
-79.941655,44.125417,train,0.0033607034704553375,96.60851899671805,0.8904319448431792
-79.290213,43.058164,train,0.004657887319050011,99.48277387207264,0.9184575897282286
-82.233038,42.240958,train,0.003544406252656737,96.96294569706863,0.8955174046199134
-81.999837,42.338015,train,0.00292403731972215,94.99120265231367,0.8760967812251786
-79.084944,43.089558,train,0.005172212265545096,100.0,0.9259658577604815
-80.413627,42.796723,train,0.004403085114207409,99.01698335942028,0.9141439463976416
-82.191038,42.404803,train,0.0040565418154203765,97.76123269448703,0.9074879460598029
22.937506,-30.559482,train,1.69414181667069E-5,1.7099183722595415,0.03935494403051141
24.684866,-22.328474,train,1.7869518552619901E-4,20.639439037273718,0.3017320993924575
29.154857,-19.015438,train,1.826744060248715E-4,21.040155307355253,0.3063924701355127
27.849332,-13.133897,train,9.596517174343282E-5,11.919439816345529,0.18835119616238782
17.873887,-11.202692,train,1.6437364387221937E-4,18.998373042152075,0.28442788686511616
34.888822,-6.369028,train,2.3494437038480706E-4,26.70708304338538,0.36229984620174693
32.290275,1.373333,train,8.352227366758693E-4,72.50485228067707,0.6688423097275106
37.906193,-0.023559,train,1.4513608826871469E-4,17.109442270216583,0.2597875720323948
40.489673,9.145,train,3.943039683871639E-4,43.62141335772736,0.4880965795222526
39.782334,15.179384,train,7.1478599748412245E-6,0.6708164842834619,0.01699104519447299
-1.023194,7.946527,train,1.1533114268128031E-4,14.193982685158698,0.21807201498253198
-14.452362,14.497401,train,5.7107319608763236E-5,7.029087551630783,0.12133882822904271
8.675277,9.081999,train,1.9339969668579277E-4,22.249346352640128,0.31864935554004725
20.939444,6.611111,train,3.9670867602798745E-4,44.10641628010269,0.48961584644138606
-15.180413,11.803749,train,3.90197618873982E-4,43.03142477055688,0.4854812178133227
15.827659,-0.228021,train,4.8460812529107816E-4,53.248315971193406,0.5395660496938458
21.758664,-4.038333,train,4.6534150413650796E-4,51.308020670965604,0.5294724865340749
16.0595888888889,38.5132666666667,train,0.0024736961208557773,93.37803695405206,0.8567707554511542
16.097375,38.4485472222222,train,0.0025189045214914518,93.63003289511381,0.8589788701011368
15.8949,38.4256888888889,train,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.9744666666667,38.2434361111111,train,0.0011905450178235264,81.18463976668482,0.7421975194425786
15.9357777777778,38.5540361111111,train,0.0024381170606963746,92.6399158692632,0.854983735206253
15.7454694444444,38.100525,train,0.002375119873768643,91.67206278753014,0.8517077424464461
16.2213055555556,39.1351194444444,train,0.0023628567610737613,91.43440550239463,0.8510527470027432
16.2561472222222,39.2889638888889,train,0.0011585752978653821,80.29858144989387,0.7369549690855526
16.261825,39.1243333333333,train,0.001168290788954392,80.53224031062226,0.7385705767673286
15.6449944444444,38.4880583333333,train,0.002388384792597617,91.910939861345,0.8524097910920532
16.4665777777778,38.4166861111111,train,0.00242046708462909,92.15292843109866,0.8540805839227333
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
15.96231,38.37404,test,0.0024622038673862427,93.13083397302907,0.8561983717140754
