Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
5.62083E-10,0.000000056,0.00000176,1,0,0
5.62851E-10,0.000000112,0.000001762,0.999901068,0,0
6.11803E-10,0.000000291,0.000001916,0.999604274,0,0
9.21107E-10,0.000001089,0.000002884,0.998614958,0,0
1.22892E-9,0.000002514,0.000003848,0.997328848,0,0
2.38055E-9,0.000010195,0.000007454,0.992975861,0,0
3.48098E-9,0.000025321,0.0000109,0.987930352,0,0
5.28199E-9,0.000050119,0.000016539,0.982291254,0,0
8.03659E-9,0.000100421,0.000025164,0.974871389,0,0
1.52808E-8,0.000250746,0.000047847,0.961812426,0,0
2.37923E-8,0.000500732,0.000074495,0.948951326,0,0
4.07045E-8,0.001001986,0.000127442,0.933616937,0,0
7.31989E-8,0.00250389,0.000229156,0.907499011,0,0
1.20621E-7,0.005000252,0.000377557,0.880985358,0,0
2.37341E-7,0.010022318,0.000742636,0.852295212,0,0
4.63001E-7,0.025012871,0.001447699,0.810150376,0,0
7.36366E-7,0.050013256,0.002300483,0.767807677,0,0
1.36322E-6,0.100060162,0.004250512,0.719034428,0,0
2.63559E-6,0.200244984,0.008185299,0.667293233,0,0
3.9341E-6,0.300288363,0.012168973,0.637119114,0,0
5.03109E-6,0.400423836,0.015509555,0.61505738,0,0
6.12197E-6,0.500137598,0.018809199,0.597348635,0,0
7.18319E-6,0.600218896,0.021997954,0.582409972,0,0
8.32046E-6,0.700653692,0.025392329,0.569647804,0,0
8.81568E-6,0.750471905,0.026863045,0.563909774,0,0
9.19121E-6,0.800728517,0.027975352,0.558369608,0,0
1.01378E-5,0.900597913,0.030767806,0.54817966,0,0
1.11035E-5,1.000231111,0.03360014,0.538880095,0,0
1.20191E-5,1.100774229,0.036270481,0.530273051,0,0
1.30895E-5,1.20059547,0.039373459,0.522358528,0,0
1.40523E-5,1.30100047,0.042147335,0.515037594,0,0
1.53098E-5,1.400988077,0.045746459,0.508310249,0.00877193,0
1.62922E-5,1.50065235,0.048539562,0.502077562,0.00877193,0.002906977
1.86256E-5,1.750788829,0.055108303,0.487930352,0.01754386,0.002906977
2.07256E-5,2.000929668,0.060943214,0.475366047,0.026315789,0.005813953
2.26461E-5,2.250276621,0.066216338,0.46398892,0.026315789,0.005813953
2.51716E-5,2.500665478,0.073061175,0.453601108,0.026315789,0.005813953
