Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.50976E-11,0.000000009,0.000000247,0.999802293,0,0
8.53842E-11,0.000000018,0.000000247,0.99970344,0,0
9.94733E-11,0.000000027,0.000000288,0.999604587,0,0
1.28617E-10,0.000000109,0.000000373,0.998912614,0,0
1.67306E-10,0.000000256,0.000000485,0.997924081,0,0
3.25492E-10,0.000001007,0.000000943,0.995057335,0,0
5.11364E-10,0.000002519,0.000001482,0.991399763,0,0
1.20549E-9,0.000010035,0.000003493,0.982997232,0,0
2.26204E-9,0.000025162,0.000006554,0.974001582,0,0
3.42775E-9,0.000050181,0.000009931,0.965302491,0,0
6.07849E-9,0.000100138,0.000017612,0.954824041,0,0
1.39172E-8,0.00025111,0.000040323,0.939007513,0,0
2.39176E-8,0.000500596,0.000069296,0.92576117,0,0
4.18772E-8,0.001001845,0.000121327,0.910537762,0,0
9.06843E-8,0.002503095,0.000262713,0.887109529,0,0
1.45068E-7,0.005009626,0.000420231,0.86585607,0,0
2.52717E-7,0.010011553,0.000731953,0.840846184,0,0
4.64182E-7,0.025031889,0.001344014,0.798635824,0,0
8.19018E-7,0.050045628,0.002370202,0.759489917,0,0
1.47471E-6,0.100091156,0.004263693,0.715104784,0,0
2.59192E-6,0.200017942,0.007481666,0.665776987,0,0
3.69452E-6,0.300175577,0.010647366,0.634341637,0,0
4.56944E-6,0.400062275,0.013152207,0.610419138,0,0
5.41095E-6,0.500246676,0.015555375,0.590549624,0,0
6.25517E-6,0.600022993,0.01796042,0.57364571,0,0
7.18069E-6,0.700121053,0.020590331,0.558817715,0.008333333,0
7.60983E-6,0.750489576,0.021807348,0.55209569,0.008333333,0
8.17186E-6,0.800786057,0.023398962,0.545769079,0.008333333,0
9.25785E-6,0.900016682,0.026467049,0.534499802,0.008333333,0
1.02577E-5,1.00082452,0.029283205,0.524219059,0.008333333,0
1.11099E-5,1.100453153,0.031677013,0.515025702,0.008333333,0
1.19938E-5,1.20008022,0.034153736,0.506524318,0.008333333,0
1.29478E-5,1.300897938,0.036819804,0.4985172,0.025,0
1.3667E-5,1.400631832,0.038824884,0.491103203,0.025,0
1.44616E-5,1.500686911,0.041035145,0.484084618,0.025,0
1.66439E-5,1.75024495,0.047079527,0.46826809,0.025,0
1.88569E-5,2.001309687,0.05317016,0.454230921,0.025,0
2.09865E-5,2.250986493,0.058994358,0.441874259,0.025,0
2.34821E-5,2.500216812,0.065773941,0.430802689,0.025,0
2.57796E-5,2.752290125,0.071972084,0.420719652,0.025,0
2.86068E-5,3.000134648,0.07954308,0.411724002,0.025,0
3.1455E-5,3.250029339,0.087107617,0.403519178,0.025,0
3.37317E-5,3.501907245,0.093109681,0.395907473,0.025,0
3.61927E-5,3.750230294,0.099553248,0.388888889,0.025,0
3.91712E-5,4.001653763,0.107290561,0.382265718,0.025,0
4.20137E-5,4.253388654,0.114612666,0.376136813,0.025,0
4.43992E-5,4.500015022,0.120711218,0.370502175,0.025,0
4.69053E-5,4.751398551,0.127072712,0.365065243,0.025,0
4.89582E-5,5.000713001,0.132249375,0.359924871,0.025,0
5.13447E-5,5.252093007,0.138228991,0.354982206,0.025,0
5.39974E-5,5.500339486,0.144827008,0.350336101,0.025,0
5.61277E-5,5.753068568,0.150089267,0.345788849,0.033333333,0
5.78667E-5,6.004011313,0.154360799,0.341439304,0.041666667,0
5.97001E-5,6.250860818,0.158840854,0.337287465,0.041666667,0
6.17992E-5,6.505865428,0.163941307,0.333135627,0.041666667,0
6.42294E-5,6.751066232,0.16980748,0.329280348,0.041666667,0
6.59551E-5,7.005019785,0.173948008,0.325425069,0.041666667,0
6.75755E-5,7.252179834,0.177817345,0.321767497,0.041666667,0
6.94799E-5,7.505730814,0.182341291,0.318109925,0.041666667,0
7.13518E-5,7.75220507,0.186764142,0.314650059,0.041666667,0
7.3482E-5,8.00587568,0.191767835,0.311190194,0.05,0
7.49772E-5,8.250659819,0.19526169,0.307928035,0.05,0
7.62527E-5,8.500176336,0.198230303,0.304665876,0.05,0
7.78244E-5,8.755029391,0.201873161,0.301403717,0.05,0
7.91679E-5,9.006565438,0.204973871,0.298240411,0.058333333,0
8.07667E-5,9.254534791,0.208648205,0.295175959,0.058333333,0
8.2511E-5,9.507715227,0.212637556,0.292111507,0.058333333,0
8.45718E-5,9.750294966,0.21732473,0.289244761,0.058333333,0
8.68432E-5,10.007733423,0.222458772,0.286279162,0.058333333,0
8.84525E-5,10.25307791,0.226075961,0.283511269,0.066666667,0
9.03016E-5,10.503375347,0.23021121,0.280743377,0.075,0
9.1535E-5,10.757748546,0.232957259,0.277975484,0.075,0
9.27068E-5,11.006235034,0.235556904,0.275306445,0.075,0
9.42917E-5,11.25876212,0.23905926,0.272637406,0.075,0
9.59342E-5,11.506246424,0.24267189,0.27006722,0.075,0
9.72981E-5,11.757568408,0.24565878,0.267497034,0.075,0
9.89742E-5,12.003031427,0.249313215,0.265025702,0.091666667,0
1.00257E-4,12.252137882,0.252097516,0.262554369,0.1,0
1.01835E-4,12.505080538,0.255510323,0.260083037,0.1,0
1.02622E-4,12.750540732,0.257205207,0.257710558,0.1,0
1.05067E-4,13.010373022,0.262450085,0.255239225,0.1,0
1.06052E-4,13.253201343,0.264551171,0.252965599,0.1,0
1.07227E-4,13.50918331,0.267051105,0.25059312,0.1,0
1.08283E-4,13.757036408,0.26928865,0.248319494,0.1,0
1.09685E-4,14.007702846,0.272252181,0.246045868,0.1,0
1.11409E-4,14.251037394,0.275878785,0.243871095,0.116666667,0
1.13195E-4,14.510038555,0.279615551,0.241597469,0.116666667,0
1.14628E-4,14.760739678,0.282599302,0.239422697,0.116666667,0
1.16248E-4,15.003470686,0.285958664,0.237346777,0.116666667,0
1.17545E-4,15.260800148,0.288637449,0.235172005,0.125,0
1.18614E-4,15.508736278,0.290837012,0.233096085,0.133333333,0
1.20372E-4,15.75928783,0.294441064,0.231020166,0.133333333,0
1.21673E-4,16.001349229,0.297096148,0.2290431,0.133333333,0
1.23277E-4,16.258320565,0.300355569,0.226967181,0.133333333,0
1.24427E-4,16.506179682,0.302682107,0.224990115,0.133333333,0
1.25856E-4,16.756749293,0.305563212,0.223013049,0.133333333,0
1.27142E-4,17.009943768,0.30814557,0.221035983,0.133333333,0
1.28425E-4,17.252960902,0.310712746,0.21915777,0.133333333,0
1.29788E-4,17.511057484,0.313430282,0.217180704,0.133333333,0
1.30825E-4,17.758818492,0.315489976,0.215302491,0.133333333,0
1.31596E-4,18.008218828,0.31701745,0.213424278,0.133333333,0
1.32385E-4,18.25894052,0.318576881,0.211546066,0.141666667,0
1.33654E-4,18.511755009,0.32107786,0.209667853,0.141666667,0
1.34822E-4,18.753521293,0.323370506,0.207888493,0.141666667,0
1.35749E-4,19.010803718,0.32518632,0.206010281,0.141666667,0
1.37335E-4,19.256899057,0.328279236,0.204230921,0.141666667,0
1.38381E-4,19.505159275,0.330311393,0.202451562,0.141666667,0
1.39626E-4,19.755515778,0.332724039,0.200672202,0.141666667,0
1.40331E-4,20.007405611,0.334085785,0.198892843,0.141666667,0
1.4147E-4,20.260871125,0.336279969,0.197113484,0.141666667,0
1.42387E-4,20.502249469,0.338040864,0.195432977,0.141666667,0
1.43502E-4,20.75945825,0.340176232,0.193653618,0.141666667,0
1.44456E-4,21.004196244,0.341996826,0.191973112,0.141666667,0
1.45518E-4,21.250867966,0.344017574,0.190292606,0.15,0
1.46685E-4,21.513929461,0.346233569,0.188513246,0.158333333,0
1.47888E-4,21.764265004,0.34850672,0.18683274,0.166666667,0
1.48718E-4,22.001829752,0.350072386,0.185251087,0.166666667,0
1.49585E-4,22.2555691,0.351703498,0.183570581,0.175,0
1.50436E-4,22.510785068,0.353298881,0.181890075,0.183333333,0
1.51267E-4,22.75209263,0.354854705,0.180308422,0.183333333,0
1.52518E-4,23.010222758,0.357188692,0.178627916,0.191666667,0
1.53598E-4,23.255209299,0.359196608,0.177046263,0.191666667,0
1.54405E-4,23.501572138,0.360693993,0.175464611,0.191666667,0
1.55439E-4,23.764980556,0.362606723,0.173784104,0.2,0
1.56182E-4,24.014317497,0.363976718,0.172202452,0.2,0
1.57215E-4,24.265185152,0.365878413,0.170620799,0.2,0
1.58173E-4,24.501880955,0.367636019,0.169137999,0.2,0
1.59428E-4,24.75575595,0.369931227,0.167556346,0.2,0
1.60808E-4,25.011892867,0.372445622,0.165974694,0.2,0
1.61979E-4,25.253962481,0.374570683,0.164491894,0.2,0
1.63814E-4,25.514483773,0.377887426,0.162910241,0.2,0
1.65469E-4,25.761575945,0.380863236,0.161427442,0.2,0
1.66698E-4,26.010835302,0.383063669,0.159944642,0.2,0
1.67769E-4,26.261675248,0.384975545,0.158461843,0.2,0
1.68582E-4,26.513953206,0.386422777,0.156979043,0.2,0
1.69814E-4,26.750846314,0.388608016,0.155595097,0.2,0
1.7088E-4,27.006397549,0.390492965,0.154112297,0.2,0
1.72269E-4,27.263767529,0.392942325,0.152629498,0.2,0
1.73516E-4,27.505803612,0.395130784,0.151245552,0.2,0
1.74972E-4,27.767185033,0.397677572,0.149762752,0.2,0
1.75814E-4,28.012767246,0.399145655,0.148378806,0.225,0
1.76972E-4,28.259731994,0.401157666,0.14699486,0.233333333,0
1.78524E-4,28.508905276,0.403844588,0.145610913,0.233333333,0
1.80072E-4,28.760204813,0.406513052,0.144226967,0.233333333,0
1.81241E-4,29.013478397,0.408519717,0.142843021,0.233333333,0
