Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.93075E-11,0.000000005,0.000000181,1,0,0
1.69831E-10,0.000000022,0.000000622,0.999901361,0,0
3.15491E-10,0.000000053,0.000001156,0.999802722,0,0
3.32508E-10,0.00000012,0.000001218,0.999605445,0,0
3.61599E-10,0.000000262,0.000001325,0.99921089,0,0
4.72171E-10,0.000001024,0.00000173,0.997435392,0,0
5.71274E-10,0.0000025,0.000002093,0.994673506,0,0
8.5968E-10,0.000010028,0.00000315,0.984020517,0,0
1.46102E-9,0.000025015,0.000005353,0.971296114,0,0
2.4248E-9,0.000050057,0.000008885,0.958177155,0,0
4.36695E-9,0.000100124,0.000016001,0.943578615,0,0
1.07278E-8,0.000250906,0.000039307,0.922765832,0,0
2.15078E-8,0.00050073,0.000078804,0.906884987,0,0
4.23268E-8,0.001000912,0.000155079,0.890905504,0,0
9.88352E-8,0.002504864,0.000362079,0.868119945,0,0
1.93015E-7,0.005014992,0.00070698,0.850562241,0,0
3.25594E-7,0.010013977,0.001192305,0.831623594,0,0
6.97021E-7,0.025063295,0.002550712,0.802130598,0,0
1.0695E-6,0.050023353,0.003911125,0.774610377,0,0
1.62799E-6,0.100103788,0.00594739,0.737522194,0,0
2.91172E-6,0.200041119,0.0106122,0.692838824,0,0
4.24658E-6,0.300081094,0.015439556,0.664726771,0,0
5.40852E-6,0.400368931,0.019622398,0.644111265,0.006849315,0
6.26271E-6,0.50007435,0.022686027,0.627244032,0.006849315,0
7.21911E-6,0.600060526,0.026104932,0.612645492,0.006849315,0
8.13689E-6,0.700558039,0.029374475,0.599723811,0.006849315,0
8.51764E-6,0.750531316,0.030727676,0.593805484,0.006849315,0
9.0408E-6,0.800752987,0.032583926,0.588183074,0.006849315,0
9.87513E-6,0.900065434,0.035536861,0.577826001,0.006849315,0
1.07779E-5,1.000390578,0.038721781,0.568258039,0.006849315,0
1.1661E-5,1.100922295,0.041827277,0.559380548,0.006849315,0
1.25967E-5,1.200583056,0.045106781,0.551292168,0.006849315,0
1.3426E-5,1.300678581,0.048003897,0.543696982,0.006849315,0
1.42611E-5,1.40043027,0.050912454,0.536594989,0.006849315,0
1.54077E-5,1.501270227,0.054891497,0.529887552,0.01369863,0
1.783E-5,1.750301275,0.063243054,0.515091734,0.020547945,0
2.02609E-5,2.000921188,0.071549523,0.502170053,0.02739726,0.0625
2.23006E-5,2.251235083,0.078462946,0.490530677,0.02739726,0.0625
2.42641E-5,2.501150682,0.085069035,0.479976327,0.04109589,0.0625
2.61748E-5,2.750714528,0.091452253,0.470211087,0.047945205,0.0625
2.85333E-5,3.001881213,0.09926969,0.461136319,0.047945205,0.0625
3.09942E-5,3.252217612,0.107355153,0.452850661,0.047945205,0.0625
3.27141E-5,3.500871081,0.112962857,0.445156836,0.054794521,0.0625
3.47501E-5,3.750341948,0.119555645,0.437857566,0.054794521,0.0625
3.69719E-5,4.001187683,0.126694371,0.430952851,0.054794521,0.0625
3.91284E-5,4.25143095,0.133567756,0.424442691,0.054794521,0.0625
4.16926E-5,4.502570017,0.141670015,0.418327086,0.054794521,0.0625
4.42937E-5,4.751429926,0.149811737,0.412606037,0.054794521,0.0625
4.67291E-5,5.002497573,0.157364759,0.407180904,0.054794521,0.0625
4.88125E-5,5.251177513,0.163772738,0.402051687,0.054794521,0.0625
5.12155E-5,5.501852885,0.171103479,0.397119747,0.054794521,0.0625
5.34979E-5,5.753147559,0.178006584,0.392385086,0.054794521,0.0625
5.56143E-5,6.00426919,0.184356134,0.387847702,0.054794521,0.0625
5.74843E-5,6.253449347,0.189925703,0.383507595,0.054794521,0.0625
5.92129E-5,6.504224912,0.195040382,0.379266127,0.054794521,0.0625
6.10527E-5,6.751119235,0.200448774,0.375221937,0.054794521,0.0625
6.22533E-5,7.004103913,0.203958221,0.371177747,0.061643836,0.0625
6.4028E-5,7.250209884,0.209118042,0.367330834,0.061643836,0.0625
6.54182E-5,7.502764881,0.213136434,0.363483922,0.061643836,0.0625
6.69935E-5,7.754221341,0.217665062,0.359735648,0.061643836,0.0625
6.8357E-5,8.004852468,0.221563871,0.356086013,0.061643836,0.125
7.03118E-5,8.254585476,0.227119631,0.352535017,0.061643836,0.1875
7.17927E-5,8.503050282,0.231302059,0.349082659,0.068493151,0.1875
7.35125E-5,8.756981372,0.236130869,0.345630302,0.068493151,0.1875
7.496E-5,9.001960908,0.240171575,0.342375222,0.068493151,0.1875
7.64446E-5,9.251085472,0.244293516,0.339120142,0.068493151,0.1875
7.77824E-5,9.505534142,0.247988787,0.335865062,0.082191781,0.1875
7.89207E-5,9.756139984,0.251119024,0.332708621,0.095890411,0.1875
8.00793E-5,10.002195243,0.25429123,0.329650819,0.095890411,0.1875
8.1474E-5,10.252655336,0.258092384,0.326593016,0.095890411,0.1875
8.28624E-5,10.507108383,0.261857232,0.323535214,0.102739726,0.1875
8.43655E-5,10.757836844,0.265911229,0.320576051,0.109589041,0.1875
8.61239E-5,11.004895683,0.270625821,0.317715526,0.109589041,0.1875
8.77032E-5,11.256936924,0.274834394,0.314855001,0.123287671,0.1875
8.91605E-5,11.504218866,0.27869616,0.312093115,0.123287671,0.1875
9.05478E-5,11.755779703,0.282353539,0.309331229,0.130136986,0.1875
9.12395E-5,12.00101366,0.284169923,0.306667982,0.130136986,0.1875
9.30337E-5,12.259128911,0.288860581,0.303906096,0.130136986,0.1875
9.38333E-5,12.501896549,0.290940977,0.301341487,0.130136986,0.1875
9.50453E-5,12.757104381,0.294083034,0.29867824,0.130136986,0.1875
9.59799E-5,13.00545282,0.296496154,0.296113632,0.130136986,0.1875
9.72316E-5,13.256724677,0.299715372,0.293549023,0.136986301,0.1875
9.83875E-5,13.501081523,0.302675055,0.291083054,0.136986301,0.1875
9.95862E-5,13.758498393,0.305731127,0.288518445,0.136986301,0.1875
1.01135E-4,14.00956859,0.309659437,0.286052476,0.136986301,0.1875
1.02332E-4,14.253915316,0.312681602,0.283685145,0.150684932,0.1875
1.03303E-4,14.500671462,0.315123033,0.281317814,0.150684932,0.1875
1.04659E-4,14.750361347,0.318515647,0.278950483,0.157534247,0.1875
1.05788E-4,15.002935515,0.321330466,0.276583152,0.171232877,0.1875
1.07365E-4,15.258671389,0.325240704,0.274215822,0.171232877,0.1875
1.08348E-4,15.506511011,0.327665748,0.27194713,0.171232877,0.1875
1.09641E-4,15.757292717,0.330844667,0.269678438,0.178082192,0.1875
1.11088E-4,16.011028321,0.334383314,0.267409746,0.178082192,0.1875
1.12445E-4,16.257350931,0.337683768,0.265239692,0.178082192,0.1875
1.13613E-4,16.506070483,0.340511926,0.263069639,0.178082192,0.1875
1.15035E-4,16.757604923,0.343939487,0.260899586,0.178082192,0.1875
1.16121E-4,17.000467298,0.346544486,0.258828171,0.184931507,0.1875
1.17333E-4,17.257184809,0.349440624,0.256658118,0.184931507,0.1875
1.1853E-4,17.504892209,0.352287918,0.254586703,0.184931507,0.1875
1.20012E-4,17.755539348,0.355794665,0.252515289,0.184931507,0.1875
1.21508E-4,18.009251808,0.359317078,0.250443875,0.184931507,0.1875
1.22876E-4,18.253516966,0.362520525,0.248471099,0.191780822,0.1875
1.24205E-4,18.500900914,0.365615841,0.246498323,0.198630137,0.1875
1.24973E-4,18.750098466,0.367399413,0.244525547,0.205479452,0.1875
1.26459E-4,19.001635352,0.370834112,0.242552772,0.205479452,0.1875
1.27686E-4,19.255593547,0.373657965,0.240579996,0.212328767,0.1875
1.29169E-4,19.512582453,0.377051573,0.23860722,0.212328767,0.1875
1.30235E-4,19.759059445,0.379479808,0.236733083,0.212328767,0.1875
1.31915E-4,20.008362924,0.383286947,0.234858947,0.212328767,0.1875
1.32773E-4,20.259815442,0.385222876,0.23298481,0.219178082,0.1875
1.33678E-4,20.512945401,0.387257745,0.231110673,0.219178082,0.1875
1.35063E-4,20.754826282,0.39036017,0.229335175,0.219178082,0.1875
1.3689E-4,21.013219238,0.394426877,0.227461038,0.226027397,0.1875
1.37896E-4,21.260575956,0.396654969,0.22568554,0.226027397,0.1875
1.39485E-4,21.510201901,0.400159044,0.223910041,0.226027397,0.1875
1.406E-4,21.762238428,0.402605201,0.222134543,0.226027397,0.1875
1.41863E-4,22.002430986,0.405362028,0.220457684,0.226027397,0.1875
1.43341E-4,22.259272628,0.408573029,0.218682186,0.226027397,0.1875
1.44637E-4,22.504092668,0.411375698,0.217005326,0.226027397,0.1875
1.45996E-4,22.751273189,0.414299365,0.215328467,0.226027397,0.1875
1.47293E-4,23.000481467,0.417075922,0.213651608,0.226027397,0.1875
1.49025E-4,23.252296407,0.42076412,0.211974748,0.226027397,0.1875
1.50596E-4,23.507075552,0.424089898,0.210297889,0.226027397,0.1875
1.5176E-4,23.763900367,0.426540415,0.20862103,0.232876712,0.1875
1.53538E-4,24.008462682,0.430263337,0.207042809,0.232876712,0.1875
1.54623E-4,24.255077136,0.43252412,0.205464589,0.232876712,0.1875
1.56441E-4,24.503827599,0.43629121,0.203886368,0.232876712,0.1875
1.58006E-4,24.755288115,0.439514658,0.202308148,0.232876712,0.1875
1.59147E-4,25.008960345,0.441854159,0.200729927,0.232876712,0.1875
1.61528E-4,25.265371342,0.446702286,0.199151706,0.232876712,0.1875
1.62552E-4,25.508601035,0.44877331,0.197672125,0.239726027,0.1875
1.63187E-4,25.752846914,0.450054352,0.196192543,0.239726027,0.1875
1.6494E-4,26.015303476,0.453576627,0.194614322,0.239726027,0.1875
1.66439E-4,26.263764951,0.456568201,0.193134741,0.239726027,0.1875
1.67529E-4,26.514319391,0.458735377,0.191655159,0.239726027,0.1875
1.68577E-4,26.766490488,0.460810399,0.190175577,0.239726027,0.1875
1.69355E-4,27.003019684,0.462344026,0.188794634,0.239726027,0.1875
1.70832E-4,27.258108605,0.465247021,0.187315052,0.246575342,0.1875
1.7214E-4,27.515322444,0.467802328,0.185835471,0.246575342,0.1875
1.73567E-4,27.75731804,0.470579279,0.184454528,0.246575342,0.1875
1.74547E-4,28.00083767,0.472476461,0.183073585,0.246575342,0.1875
1.76062E-4,28.264111104,0.475396269,0.181594003,0.246575342,0.1875
1.7795E-4,28.511923855,0.479014014,0.18021306,0.246575342,0.1875
