Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bioclim_10 contribution,bioclim_16 contribution,bioclim_17 contribution,bioclim_10 permutation importance,bioclim_16 permutation importance,bioclim_17 permutation importance,Training gain without bioclim_10,Training gain without bioclim_16,Training gain without bioclim_17,Training gain with only bioclim_10,Training gain with only bioclim_16,Training gain with only bioclim_17,Test gain without bioclim_10,Test gain without bioclim_16,Test gain without bioclim_17,Test gain with only bioclim_10,Test gain with only bioclim_16,Test gain with only bioclim_17,AUC without bioclim_10,AUC without bioclim_16,AUC without bioclim_17,AUC with only bioclim_10,AUC with only bioclim_16,AUC with only bioclim_17,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
aetina_tumida_0,145,1.0511,1.1799,500,0.8818,17,0.7130,0.8263,0.0394,10137,35.1143,46.5317,18.3540,52.8543,33.3579,13.7877,0.6626,0.8533,0.8796,0.5262,0.5418,0.3592,0.4067,0.4490,0.8059,0.5302,0.4614,0.0293,0.7604,0.7827,0.8377,0.7700,0.7680,0.6171,8.1742,0.2068,1.0000,0.0396,0.5511,0.0069,0.0000,3.996E-5,5.0000,0.1492,0.3961,0.0483,0.1176,4.985E-5,10.0000,0.2536,0.3176,0.1034,0.2353,1.982E-4,0.6688,0.0285,0.5849,0.0000,0.0000,1.097E-4,9.9084,0.2529,0.3187,0.0966,0.2353,2.06E-4,21.7358,0.4037,0.2138,0.2138,0.2941,1.885E-5,8.7577,0.2322,0.3332,0.0690,0.2353,3.403E-4,17.9822,0.3602,0.2412,0.2000,0.2353,8.092E-6,17.9822,0.3602,0.2412,0.2000,0.2353,8.092E-6,1.0968,0.0428,0.5431,0.0069,0.0000,3.108E-5,7.5722,0.2076,0.3500,0.0690,0.1765,8.622E-5
aetina_tumida_1,145,1.0063,1.1212,340,0.8751,17,1.1175,0.8770,0.0281,10134,36.4868,47.0001,16.5131,54.6439,33.1422,12.2139,0.6189,0.8017,0.8541,0.5196,0.5144,0.3215,0.7535,0.9131,1.0185,0.6033,0.6809,0.3421,0.8274,0.8457,0.8651,0.7835,0.8103,0.6944,8.2178,0.2156,1.0000,0.0404,0.5813,0.0069,0.0000,9.884E-5,5.0000,0.1514,0.4201,0.0621,0.0000,3.949E-7,10.0000,0.2421,0.3374,0.1103,0.0588,3.269E-7,0.7815,0.0330,0.6026,0.0000,0.0000,1.823E-4,9.5672,0.2361,0.3432,0.0966,0.0588,4.264E-7,23.0346,0.4098,0.2138,0.2138,0.2353,1.923E-6,35.8307,0.5486,0.1415,0.2759,0.3529,2.455E-6,20.1447,0.3704,0.2352,0.2069,0.2353,6.016E-6,9.2177,0.2317,0.3479,0.0966,0.0000,1.605E-8,1.5343,0.0567,0.5416,0.0069,0.0000,2.972E-5,8.0066,0.2109,0.3657,0.0897,0.0000,3.742E-8
aetina_tumida_2,146,0.9562,1.0664,440,0.8699,16,1.5606,0.9421,0.0147,10135,35.8470,48.9842,15.1688,51.4323,36.4649,12.1028,0.5932,0.7614,0.8242,0.5041,0.5079,0.2896,0.9867,1.2661,1.2719,0.7177,0.7431,0.6249,0.8883,0.9133,0.9199,0.8129,0.8276,0.8146,8.2673,0.2274,1.0000,0.0415,0.5976,0.0068,0.0000,2.648E-4,5.0000,0.1541,0.4300,0.0616,0.0000,1.366E-6,10.0000,0.2579,0.3469,0.0753,0.0000,4.402E-8,0.6798,0.0309,0.6316,0.0000,0.0000,6.409E-4,10.8030,0.2673,0.3368,0.0959,0.0000,2.735E-8,23.0047,0.4230,0.2260,0.2260,0.0625,2.592E-9,9.6053,0.2528,0.3520,0.0616,0.0000,5.567E-8,46.0056,0.6547,0.1099,0.3699,0.1250,3.631E-12,46.0002,0.6546,0.1099,0.3699,0.0625,5.927E-14,2.1884,0.0779,0.5209,0.0068,0.0000,2.935E-5,7.4000,0.2119,0.3842,0.0616,0.0000,2.255E-7
aetina_tumida_3,146,0.9782,1.0961,300,0.8740,16,1.3866,0.9068,0.0342,10136,34.3550,51.2417,14.4034,50.0408,38.5041,11.4551,0.6262,0.7740,0.8461,0.5120,0.5305,0.3059,0.7050,1.1813,1.0844,0.6625,0.5465,0.4945,0.8256,0.8894,0.8920,0.8390,0.7813,0.7665,8.2445,0.2227,1.0000,0.0419,0.5708,0.0068,0.0000,1.271E-4,5.0000,0.1630,0.4154,0.0548,0.0625,1.852E-5,10.0000,0.2677,0.3381,0.0753,0.0625,9.425E-7,0.3699,0.0185,0.6512,0.0000,0.0000,1.047E-3,10.4173,0.2744,0.3332,0.0959,0.0625,7.611E-7,22.0861,0.4152,0.2291,0.2260,0.1250,8.134E-8,9.8320,0.2649,0.3402,0.0685,0.0625,1.03E-6,28.7359,0.4878,0.1875,0.2466,0.1875,1.121E-7,49.4056,0.6816,0.0970,0.3630,0.1875,2.833E-11,1.3822,0.0551,0.5420,0.0068,0.0000,5.551E-5,7.2402,0.2169,0.3755,0.0548,0.0625,4.312E-6
aetina_tumida_4,146,1.0170,1.1410,400,0.8790,16,1.0263,0.8592,0.0366,10135,36.0236,48.8416,15.1348,51.8273,36.7876,11.3851,0.6312,0.8194,0.8747,0.5397,0.5352,0.3189,0.6611,0.7565,0.8335,0.4143,0.5058,0.3697,0.8067,0.8219,0.8392,0.7196,0.7501,0.7317,8.2063,0.2138,1.0000,0.0391,0.5642,0.0000,0.0000,1.054E-4,5.0000,0.1608,0.4062,0.0548,0.0625,1.341E-5,10.0000,0.2557,0.3298,0.0890,0.1875,1.026E-4,1.2992,0.0488,0.5399,0.0000,0.0000,5.214E-5,11.4538,0.2755,0.3129,0.0959,0.1875,5.52E-5,23.2538,0.4210,0.2123,0.2123,0.3125,5.879E-5,29.4014,0.4863,0.1754,0.2260,0.3125,8.829E-6,13.4641,0.3018,0.2916,0.1507,0.3125,1.206E-3,50.1990,0.7022,0.0894,0.4041,0.3125,8.303E-9,1.2992,0.0488,0.5399,0.0000,0.0000,5.214E-5,7.6314,0.2191,0.3614,0.0616,0.0625,2.481E-6
aetina_tumida_5,146,1.0795,1.2117,480,0.8869,16,0.2995,0.7695,0.0522,10138,33.4426,48.6848,17.8726,46.3245,40.8700,12.8055,0.6826,0.8379,0.9054,0.5128,0.5678,0.3726,0.0894,0.5609,0.4738,0.6572,0.1537,-0.1355,0.6986,0.7974,0.7810,0.7805,0.6834,0.5654,8.1457,0.1996,1.0000,0.0384,0.5653,0.0000,0.0625,1.447E-3,5.0000,0.1328,0.4032,0.0685,0.1875,1.027E-3,10.0000,0.2261,0.3150,0.0890,0.3750,1.038E-2,1.3466,0.0487,0.5387,0.0000,0.0625,7.388E-4,10.2189,0.2288,0.3120,0.0959,0.3750,9.659E-3,22.8511,0.4040,0.1987,0.1986,0.4375,1.403E-3,24.2180,0.4194,0.1898,0.1986,0.4375,9.941E-4,7.5609,0.1792,0.3518,0.0822,0.3750,2.375E-2,3.4709,0.1031,0.4447,0.0274,0.1250,4.863E-4,1.3466,0.0487,0.5387,0.0000,0.0625,7.388E-4,8.2714,0.1926,0.3401,0.0822,0.3750,1.852E-2
aetina_tumida_6,146,0.9815,1.1036,500,0.8729,16,1.3402,0.9147,0.0172,10136,36.6794,47.6392,15.6813,50.4911,38.3562,11.1526,0.6108,0.7889,0.8477,0.5174,0.5199,0.3066,0.8344,1.0377,1.0769,0.6182,0.6423,0.4746,0.8444,0.8793,0.8768,0.7615,0.7795,0.7696,8.2425,0.2219,1.0000,0.0411,0.5799,0.0000,0.0000,1.636E-4,5.0000,0.1566,0.4194,0.0616,0.0000,9.162E-7,10.0000,0.2583,0.3397,0.0959,0.0000,3.141E-8,1.4059,0.0543,0.5488,0.0000,0.0000,6.778E-5,11.0959,0.2732,0.3264,0.0959,0.0000,1.656E-8,21.3805,0.4057,0.2328,0.2329,0.0625,4.007E-9,11.0959,0.2732,0.3264,0.0959,0.0000,1.656E-8,40.0527,0.5895,0.1306,0.3151,0.1250,3.896E-11,31.2045,0.5099,0.1722,0.2671,0.0625,4.641E-11,1.4059,0.0543,0.5488,0.0000,0.0000,6.778E-5,7.4746,0.2156,0.3747,0.0616,0.0000,1.51E-7
aetina_tumida_7,146,1.0674,1.1993,480,0.8860,16,0.4996,0.8021,0.0568,10135,34.9329,48.9224,16.1448,49.9219,36.0099,14.0682,0.6741,0.8275,0.9036,0.5432,0.5580,0.3201,0.2342,0.6720,0.5886,0.3741,0.3268,0.3441,0.7600,0.8065,0.8041,0.7287,0.7189,0.6911,8.1560,0.2027,1.0000,0.0374,0.5497,0.0000,0.0625,9.8E-4,5.0000,0.1534,0.3936,0.0548,0.1250,1.03E-4,10.0000,0.2490,0.3167,0.0890,0.3125,2.561E-3,1.6299,0.0578,0.5046,0.0000,0.1250,2.338E-3,10.3959,0.2544,0.3121,0.0959,0.3125,2.242E-3,22.5869,0.3990,0.2055,0.2055,0.3750,3.135E-4,28.0551,0.4594,0.1719,0.2192,0.3750,6.531E-5,10.3623,0.2536,0.3125,0.0959,0.3125,2.268E-3,6.9050,0.1937,0.3593,0.0548,0.1250,3.166E-5,1.6299,0.0578,0.5046,0.0000,0.1250,2.338E-3,7.9349,0.2143,0.3438,0.0548,0.2500,1.085E-3
aetina_tumida_8,146,1.0181,1.1431,500,0.8776,16,0.9909,0.8668,0.0348,10138,38.1313,46.7499,15.1188,53.6859,35.3033,11.0108,0.6045,0.8114,0.8775,0.5378,0.5136,0.3048,0.8823,0.8198,0.7926,0.4273,0.6904,0.4943,0.8580,0.8443,0.8318,0.7372,0.7891,0.7801,8.2063,0.2136,1.0000,0.0387,0.5683,0.0068,0.0000,1.182E-4,5.0000,0.1574,0.4072,0.0548,0.0625,1.387E-5,10.0000,0.2543,0.3297,0.0959,0.1875,1.019E-4,0.3802,0.0189,0.6479,0.0000,0.0000,9.631E-4,10.4823,0.2615,0.3237,0.0959,0.1875,8.242E-5,21.2192,0.3962,0.2260,0.2260,0.1875,1.109E-6,9.3047,0.2452,0.3383,0.0685,0.1875,1.379E-4,27.2239,0.4651,0.1875,0.2466,0.1875,1.118E-7,36.0582,0.5426,0.1420,0.2877,0.1875,3.511E-9,1.4905,0.0545,0.5306,0.0068,0.0000,3.944E-5,7.6410,0.2156,0.3614,0.0616,0.0625,2.48E-6
aetina_tumida_9,146,0.9982,1.1160,480,0.8757,16,1.1954,0.8876,0.0261,10135,36.0790,48.4795,15.4415,50.8145,37.4243,11.7613,0.6297,0.8026,0.8612,0.5329,0.5299,0.3159,0.6715,0.9122,0.9607,0.4847,0.5415,0.3948,0.8118,0.8545,0.8588,0.7378,0.7749,0.7459,8.2256,0.2181,1.0000,0.0404,0.5727,0.0068,0.0000,1.338E-4,5.0000,0.1589,0.4129,0.0616,0.0000,7.144E-7,10.0000,0.2589,0.3351,0.0959,0.0000,2.525E-8,0.7006,0.0298,0.6037,0.0000,0.0000,3.117E-4,10.1926,0.2611,0.3327,0.0959,0.0000,2.254E-8,22.9545,0.4194,0.2191,0.2192,0.1875,7.614E-7,9.2563,0.2469,0.3444,0.0616,0.0000,3.927E-8,28.0099,0.4720,0.1875,0.2397,0.1875,1.115E-7,10.7801,0.2690,0.3257,0.1096,0.0000,1.604E-8,1.6251,0.0609,0.5275,0.0068,0.0000,3.592E-5,7.5301,0.2172,0.3685,0.0616,0.0000,1.157E-7
